mid_date, v [m/yr], satellite, dt (days)
2018-03-11,3732, Sentinel 1,6
2020-12-18,3546, Sentinel 1,6
2019-06-07,3557, Sentinel 1,12
2017-02-04,3199, Sentinel 1,12
2017-07-05,3452, Sentinel 1,12
2021-10-24,3683, Sentinel 1,12
2020-07-13,3591, Sentinel 1,12
2019-01-09,3938, Sentinel 1,12
2019-07-01,3457, Sentinel 1,12
2016-12-29,3668, Sentinel 1,6
2020-10-20,3278, Sentinel 1,6
2018-07-05,3684, Sentinel 1,12
2022-10-01,3406, Sentinel 1,12
2021-05-14,3879, Sentinel 2,5
2015-08-03,3716, Sentinel 1,12
2018-02-02,3820, Sentinel 1,6
2021-06-27,3876, Sentinel 2,10
2017-01-29,3169, Sentinel 1,12
2019-12-13,3374, Sentinel 1,6
2021-02-22,3437, Sentinel 1,6
2021-11-03,3818, Sentinel 2,5
2020-05-20,3775, Sentinel 1,12
2017-01-05,3132, Sentinel 1,12
2020-12-08,3538, Sentinel 1,6
2020-09-26,3673, Sentinel 1,6
2019-08-15,3755, Sentinel 2,10
2015-12-25,3649, Sentinel 1,12
2015-08-15,3649, Sentinel 1,12
2022-05-31,3900, Sentinel 2,10
2019-01-31,3810, Sentinel 1,6
2020-01-08,4113, Sentinel 1,6
2020-01-05,3999, Sentinel 1,12
2017-09-12,3933, Sentinel 1,6
2021-10-01,3880, Sentinel 2,5
2017-12-04,4159, Sentinel 1,6
2020-07-15,3917, Sentinel 2,10
2018-05-15,3488, Sentinel 1,6
2022-04-16,4131, Sentinel 2,5
2019-09-13,3328, Sentinel 1,6
2019-03-26,3708, Sentinel 1,12
2018-11-30,3752, Sentinel 1,6
2020-03-24,3722, Sentinel 1,6
2021-05-06,3965, Sentinel 2,5
2021-11-18,3810, Sentinel 1,12
2017-01-21,3301, Sentinel 1,6
2019-06-06,3757, Sentinel 2,5
2018-08-27,4004, Sentinel 2,10
2016-08-26,3307, Sentinel 1,12
2022-06-08,3665, Sentinel 1,12
2018-07-17,3574, Sentinel 1,12
2018-02-14,3634, Sentinel 1,6
2018-12-15,3727, Sentinel 1,12
2021-05-01,3839, Sentinel 2,5
2016-11-25,3106, Sentinel 1,12
2020-05-11,3652, Sentinel 1,6
2017-10-14,3637, Sentinel 1,12
2016-11-16,3337, Sentinel 1,6
2015-10-02,3569, Sentinel 1,12
2021-06-27,3647, Sentinel 1,12
2019-09-02,3246, Sentinel 1,6
2018-12-05,3536, Sentinel 1,6
2017-10-23,3870, Sentinel 1,6
2020-11-01,3739, Sentinel 1,6
2022-08-04,3838, Sentinel 2,10
2020-05-29,3815, Sentinel 1,6
2021-08-24,3843, Sentinel 1,12
2021-10-23,4065, Sentinel 2,10
2020-06-07,3689, Sentinel 1,12
2016-10-29,3164, Sentinel 1,6
2016-05-12,3324, Sentinel 1,12
2016-08-21,3344, Sentinel 1,12
2020-04-10,3454, Sentinel 1,6
2022-10-08,3493, Sentinel 1,12
2021-09-27,3616, Sentinel 1,6
2018-04-19,3780, Sentinel 1,12
2017-07-23,3493, Sentinel 1,12
2021-10-03,4025, Sentinel 2,10
2019-06-18,3393, Sentinel 1,12
2019-09-10,3251, Sentinel 1,12
2016-12-04,3823, Sentinel 1,6
2019-09-20,3724, Sentinel 1,6
2020-07-12,3589, Sentinel 1,12
2019-08-26,3520, Sentinel 2,5
2021-01-05,3893, Sentinel 1,12
2021-01-16,3931, Sentinel 1,12
2019-01-19,3436, Sentinel 1,12
2017-07-23,3857, Sentinel 2,10
2019-12-23,3462, Sentinel 1,12
2022-05-16,3947, Sentinel 2,10
2021-11-26,3886, Sentinel 1,6
2019-11-01,3530, Sentinel 1,6
2021-01-01,3899, Sentinel 1,6
2021-03-12,3419, Sentinel 1,6
2020-02-10,3687, Sentinel 1,6
2017-03-10,3185, Sentinel 1,6
2016-08-27,3569, Sentinel 2,10
2018-02-21,3776, Sentinel 1,6
2017-09-02,3300, Sentinel 1,12
2019-10-17,3571, Sentinel 1,12
2015-06-28,3716, Sentinel 1,12
2021-03-01,3806, Sentinel 1,6
2021-03-06,3384, Sentinel 1,6
2017-11-23,3711, Sentinel 1,6
2020-12-26,4034, Sentinel 1,6
2022-08-14,3570, Sentinel 1,12
2020-01-15,3625, Sentinel 1,12
2020-02-23,3634, Sentinel 1,6
2021-08-10,3706, Sentinel 1,6
2022-09-02,3615, Sentinel 1,12
2021-10-30,3749, Sentinel 1,12
2016-07-14,3410, Sentinel 2,10
2021-02-13,3476, Sentinel 1,12
2017-05-05,3199, Sentinel 1,12
2018-06-11,3971, Sentinel 2,5
2018-04-03,3553, Sentinel 1,6
2017-06-04,3508, Sentinel 1,12
2021-05-03,3616, Sentinel 1,12
2019-10-11,3325, Sentinel 1,12
