mid_date, v [m/yr], satellite, dt (days)
2021-06-05,11350, Sentinel 1,6
2019-07-13,10029, Sentinel 2,10
2019-08-20,8970, Sentinel 1,6
2021-10-15,12392, Sentinel 2,10
2022-04-23,11845, Sentinel 2,10
2017-08-03,10980, Sentinel 2,5
2018-07-21,12213, Sentinel 2,5
2019-08-03,9925, Sentinel 1,6
2022-08-16,10452, Sentinel 2,10
2021-11-04,12466, Sentinel 2,10
2021-08-09,11934, Sentinel 2,5
2016-10-17,7608, Sentinel 1,6
2022-09-03,9994, Sentinel 2,5
2022-04-29,11791, Sentinel 2,5
2022-04-06,12240, Sentinel 2,10
2021-06-16,11107, Sentinel 1,6
2022-08-29,10099, Sentinel 2,10
2018-08-01,12097, Sentinel 1,6
2018-08-08,11908, Sentinel 1,6
2018-07-11,12135, Sentinel 2,10
2020-06-27,11440, Sentinel 1,6
2021-09-21,12198, Sentinel 2,5
2018-06-26,12087, Sentinel 1,6
2018-07-21,11747, Sentinel 1,6
2019-06-10,9989, Sentinel 1,6
2019-09-26,9605, Sentinel 1,6
2019-04-23,10419, Sentinel 1,6
2019-08-22,9431, Sentinel 2,10
2017-08-13,10696, Sentinel 1,6
2020-07-22,12036, Sentinel 1,6
2021-10-06,12429, Sentinel 2,5
2022-10-10,9030, Sentinel 2,10
2019-08-26,9061, Sentinel 1,6
2021-05-13,11962, Sentinel 2,10
2021-05-08,12074, Sentinel 2,10
2021-09-03,12440, Sentinel 2,10
2021-09-20,12450, Sentinel 2,10
2019-08-15,9707, Sentinel 2,10
2022-05-31,11504, Sentinel 2,10
2021-10-01,12203, Sentinel 2,5
2020-07-15,12497, Sentinel 2,10
2021-05-06,11805, Sentinel 2,5
2019-06-06,10170, Sentinel 2,5
2018-08-27,11664, Sentinel 2,10
2019-09-02,9183, Sentinel 1,6
2022-08-04,10801, Sentinel 2,10
2020-05-29,11639, Sentinel 1,6
2021-10-23,12451, Sentinel 2,10
2016-10-29,7496, Sentinel 1,6
2016-05-12,7758, Sentinel 1,12
2021-10-03,12502, Sentinel 2,10
2019-09-20,8854, Sentinel 1,6
2022-07-12,10978, Sentinel 2,10
2017-07-23,10949, Sentinel 2,10
2016-08-27,8111, Sentinel 2,10
2021-08-10,11625, Sentinel 1,6
2018-06-11,12057, Sentinel 2,5
2016-04-30,7743, Sentinel 1,12
2022-05-04,11891, Sentinel 2,5
2021-10-16,12160, Sentinel 2,5
2019-05-25,9929, Sentinel 1,12
2021-09-13,12094, Sentinel 2,5
2016-09-06,7914, Sentinel 2,10
2021-08-06,12016, Sentinel 2,10
2020-06-30,12229, Sentinel 2,10
2021-07-25,12137, Sentinel 2,5
2019-07-28,9705, Sentinel 1,6
2016-07-28,8226, Sentinel 2,10
2020-06-15,11709, Sentinel 1,6
2021-09-10,12327, Sentinel 2,10
2020-07-13,12290, Sentinel 2,5
2022-10-18,8750, Sentinel 2,10
2018-08-19,11781, Sentinel 1,6
2021-05-24,11973, Sentinel 1,6
2019-08-15,9541, Sentinel 2,5
2020-07-20,12434, Sentinel 2,5
2018-08-30,11464, Sentinel 2,5
2019-07-04,9546, Sentinel 1,6
2022-08-22,10095, Sentinel 2,5
2019-06-16,10239, Sentinel 1,6
