mid_date, v [m/yr], satellite, dt (days)
2021-05-06,1514, Sentinel 2,10
2018-09-09,1529, Sentinel 1,12
2019-09-04,1511, Sentinel 1,12
2020-07-06,1467, Sentinel 1,12
2021-06-05,1536, Sentinel 1,6
2019-07-13,1580, Sentinel 2,10
2021-09-02,1483, Sentinel 1,6
2017-06-23,1469, Sentinel 1,12
2019-10-19,1615, Sentinel 1,6
2016-05-02,1540, Sentinel 2,10
2019-10-05,1546, Sentinel 1,12
2017-07-29,1537, Sentinel 1,12
2020-08-09,1518, Sentinel 1,6
2021-10-15,1510, Sentinel 2,10
2022-04-23,1514, Sentinel 2,10
2017-08-03,1538, Sentinel 2,5
2018-07-29,1550, Sentinel 1,12
2020-09-02,1419, Sentinel 1,6
2018-07-21,1626, Sentinel 2,5
2022-06-20,1559, Sentinel 1,12
2021-09-09,1300, Sentinel 1,6
2019-08-03,1431, Sentinel 1,6
2020-07-18,1567, Sentinel 1,12
2021-06-25,1537, Sentinel 1,12
2022-08-16,1487, Sentinel 2,10
2021-11-04,1508, Sentinel 2,10
2021-08-09,1626, Sentinel 2,5
2020-09-04,1382, Sentinel 1,12
2022-08-02,1527, Sentinel 1,12
2019-08-26,1459, Sentinel 1,6
2019-08-08,1556, Sentinel 1,6
2022-07-28,1538, Sentinel 1,12
2016-10-17,1569, Sentinel 1,6
2022-09-03,1631, Sentinel 2,5
2021-08-22,1525, Sentinel 1,6
2022-08-29,1512, Sentinel 2,10
2019-10-07,1751, Sentinel 1,6
2018-08-01,1478, Sentinel 1,6
2018-08-08,1557, Sentinel 1,6
2020-07-19,1529, Sentinel 1,12
2021-07-19,1608, Sentinel 1,12
2018-07-11,1511, Sentinel 2,10
2021-09-21,1458, Sentinel 2,5
2018-06-26,1522, Sentinel 1,6
2020-08-30,1474, Sentinel 1,12
2019-07-12,1509, Sentinel 1,12
2019-07-18,1627, Sentinel 2,10
2018-07-21,1409, Sentinel 1,6
2017-09-09,1567, Sentinel 1,12
2017-08-18,1526, Sentinel 1,6
2019-06-10,1588, Sentinel 1,6
2019-09-26,1522, Sentinel 1,6
2017-08-03,1494, Sentinel 1,12
2019-10-04,1512, Sentinel 1,12
2019-08-22,1558, Sentinel 2,10
2017-08-13,1515, Sentinel 1,6
2021-06-28,1451, Sentinel 1,6
2017-07-14,1603, Sentinel 1,6
2015-06-04,2591, Sentinel 1,12
2020-07-22,1575, Sentinel 1,6
2019-09-17,1664, Sentinel 1,12
2021-10-06,1579, Sentinel 2,5
2022-10-10,1558, Sentinel 2,10
2021-09-26,1337, Sentinel 1,6
2021-05-13,1513, Sentinel 2,10
2021-05-08,1492, Sentinel 2,10
