mid_date, v [m/yr], satellite, dt (days)
2021-05-06,1553, Sentinel 2,10
2019-09-04,967, Sentinel 1,12
2021-06-05,1180, Sentinel 1,6
2017-01-13,633, Sentinel 1,12
2021-10-06,1303, Sentinel 1,12
2016-12-16,1188, Sentinel 1,6
2019-07-13,1621, Sentinel 2,10
2021-12-07,1793, Sentinel 1,6
2021-09-02,1216, Sentinel 1,6
2017-06-23,1792, Sentinel 1,12
2021-01-23,931, Sentinel 1,6
2019-10-19,942, Sentinel 1,6
2016-05-02,1574, Sentinel 2,10
2019-10-05,1274, Sentinel 1,12
2017-07-29,1484, Sentinel 1,12
2018-04-04,1371, Sentinel 1,6
2020-08-09,1362, Sentinel 1,6
2016-05-22,1476, Sentinel 1,12
2018-05-10,1505, Sentinel 1,6
2016-05-12,1759, Sentinel 1,12
2018-04-09,1701, Sentinel 1,6
2020-09-10,1590, Sentinel 1,12
2021-10-15,1606, Sentinel 2,10
2022-04-23,1587, Sentinel 2,10
2021-01-19,1160, Sentinel 1,6
2017-08-03,1677, Sentinel 2,5
2020-09-02,1364, Sentinel 1,6
2016-05-17,1430, Sentinel 1,12
2018-02-03,926, Sentinel 1,6
2021-10-14,1147, Sentinel 1,6
2018-07-21,1625, Sentinel 2,5
2021-09-09,1302, Sentinel 1,6
2017-10-27,1659, Sentinel 1,12
2019-08-03,1811, Sentinel 1,6
2020-07-18,944, Sentinel 1,12
2021-06-25,1445, Sentinel 1,12
2022-08-16,1548, Sentinel 2,10
2017-11-29,1152, Sentinel 1,6
2019-12-18,1722, Sentinel 1,6
2019-12-06,1397, Sentinel 1,6
2021-11-04,1646, Sentinel 2,10
2021-08-09,1720, Sentinel 2,5
2021-01-20,1323, Sentinel 1,6
2021-12-08,1146, Sentinel 1,6
2020-11-30,2049, Sentinel 1,6
2021-11-20,1265, Sentinel 1,6
2022-08-02,886, Sentinel 1,12
2019-08-26,1235, Sentinel 1,6
2021-03-28,1564, Sentinel 1,12
2021-05-23,1640, Sentinel 1,6
2019-08-08,1483, Sentinel 1,6
2019-10-16,1324, Sentinel 1,12
2020-12-18,2520, Sentinel 1,6
2016-10-17,1626, Sentinel 1,6
2017-01-14,2511, Sentinel 1,12
2022-09-03,1662, Sentinel 2,5
2021-08-22,1392, Sentinel 1,6
2019-02-03,1093, Sentinel 1,6
2020-01-19,1255, Sentinel 1,6
2018-01-05,1874, Sentinel 1,6
2022-04-06,1842, Sentinel 2,10
2022-08-29,1417, Sentinel 2,10
2019-10-07,1069, Sentinel 1,6
2018-08-01,1641, Sentinel 1,6
2021-02-14,618, Sentinel 1,12
2018-08-08,1219, Sentinel 1,6
2021-07-19,1110, Sentinel 1,12
2018-07-11,1604, Sentinel 2,10
2020-09-14,1529, Sentinel 1,6
2017-01-15,1638, Sentinel 1,6
2021-11-13,1342, Sentinel 1,6
2019-01-10,1947, Sentinel 1,6
2018-12-18,1514, Sentinel 1,6
2018-12-29,1183, Sentinel 1,6
2021-09-21,1707, Sentinel 2,5
2018-06-26,1362, Sentinel 1,6
2020-08-30,1450, Sentinel 1,12
2019-07-12,1139, Sentinel 1,12
2019-07-18,1697, Sentinel 2,10
2018-07-21,1547, Sentinel 1,6
2017-08-18,1184, Sentinel 1,6
2017-02-20,1462, Sentinel 1,6
2018-05-03,1333, Sentinel 1,6
2019-06-10,731, Sentinel 1,6
2019-09-26,1808, Sentinel 1,6
2017-08-03,1827, Sentinel 1,12
2019-10-04,1120, Sentinel 1,12
2020-02-10,1531, Sentinel 1,6
2020-12-22,1006, Sentinel 1,12
2019-04-23,1721, Sentinel 1,6
2019-08-22,1621, Sentinel 2,10
2017-08-13,1710, Sentinel 1,6
2020-01-02,1481, Sentinel 1,6
2021-06-28,1661, Sentinel 1,6
2020-03-15,1652, Sentinel 1,12
2021-11-05,1403, Sentinel 1,12
2022-03-23,1463, Sentinel 1,12
2017-07-14,1386, Sentinel 1,6
2015-06-04,1706, Sentinel 1,12
2020-07-22,1204, Sentinel 1,6
2018-03-28,1028, Sentinel 1,6
2021-10-06,1635, Sentinel 2,5
2022-10-10,1647, Sentinel 2,10
2021-09-26,1375, Sentinel 1,6
2020-12-09,1346, Sentinel 1,6
2021-05-13,1575, Sentinel 2,10
2021-01-06,1335, Sentinel 1,6
2021-05-08,1570, Sentinel 2,10
2018-03-02,1360, Sentinel 1,12
2019-11-27,1787, Sentinel 1,12
2021-09-03,1570, Sentinel 2,10
2021-09-20,1629, Sentinel 2,10
2018-03-11,1448, Sentinel 1,6
2017-02-04,1328, Sentinel 1,12
2017-07-05,1704, Sentinel 1,12
2020-07-13,1192, Sentinel 1,12
2019-01-09,1181, Sentinel 1,12
2019-07-01,1254, Sentinel 1,12
2021-01-02,1289, Sentinel 1,12
2021-01-10,2019, Sentinel 1,12
2021-03-24,1691, Sentinel 1,6
2021-08-09,1129, Sentinel 1,6
2018-07-05,1299, Sentinel 1,12
2021-05-14,1612, Sentinel 2,5
2015-08-03,1490, Sentinel 1,12
2018-02-02,1337, Sentinel 1,6
2021-05-02,1290, Sentinel 1,12
2021-02-10,1107, Sentinel 1,6
2020-09-26,1261, Sentinel 1,6
2019-08-15,1584, Sentinel 2,10
2022-05-31,1574, Sentinel 2,10
2020-06-12,1251, Sentinel 1,12
2021-10-01,1543, Sentinel 2,5
2021-06-07,1305, Sentinel 1,12
2020-07-15,1655, Sentinel 2,10
2018-05-15,1780, Sentinel 1,6
2021-08-15,1257, Sentinel 1,6
2018-11-30,1104, Sentinel 1,6
2020-03-24,1004, Sentinel 1,6
2021-05-06,1588, Sentinel 2,5
2017-01-21,894, Sentinel 1,6
2019-06-06,1653, Sentinel 2,5
2018-08-27,1664, Sentinel 2,10
2018-12-15,1596, Sentinel 1,12
2021-05-01,1546, Sentinel 2,5
2020-01-17,1627, Sentinel 1,12
2021-07-04,1799, Sentinel 1,6
2019-09-02,1569, Sentinel 1,6
2017-10-23,2153, Sentinel 1,6
2020-11-01,1317, Sentinel 1,6
2022-08-04,1481, Sentinel 2,10
2020-05-29,1620, Sentinel 1,6
2016-05-12,1480, Sentinel 1,12
2020-06-03,1394, Sentinel 1,6
2021-09-27,1368, Sentinel 1,6
2021-10-03,1606, Sentinel 2,10
2019-09-01,1263, Sentinel 1,6
2016-12-04,1666, Sentinel 1,6
2022-07-12,1593, Sentinel 2,10
2021-01-05,1100, Sentinel 1,12
2017-07-23,1650, Sentinel 2,10
2019-03-29,2150, Sentinel 1,6
2022-05-16,1583, Sentinel 2,10
2021-11-26,726, Sentinel 1,6
2019-11-01,2374, Sentinel 1,6
2017-03-10,440, Sentinel 1,6
2016-08-27,1581, Sentinel 2,10
2020-11-27,875, Sentinel 1,12
2015-06-28,1402, Sentinel 1,12
2021-03-01,756, Sentinel 1,6
2017-11-23,1502, Sentinel 1,6
2022-08-14,1112, Sentinel 1,12
2021-08-10,1003, Sentinel 1,6
2018-06-11,1695, Sentinel 2,5
2018-04-03,3097, Sentinel 1,6
2017-06-04,1697, Sentinel 1,12
2020-07-10,1358, Sentinel 1,6
2018-03-25,1533, Sentinel 1,12
2017-03-22,1572, Sentinel 1,6
2022-05-04,1640, Sentinel 2,5
2016-05-02,1574, Sentinel 2,10
2020-02-22,1993, Sentinel 1,6
2020-12-12,1422, Sentinel 1,6
2021-01-22,1480, Sentinel 1,12
2019-10-25,1226, Sentinel 1,6
2019-06-12,1276, Sentinel 1,12
2018-06-29,1498, Sentinel 1,12
2019-11-19,730, Sentinel 1,6
2019-02-28,2629, Sentinel 1,6
2018-12-28,952, Sentinel 1,12
2017-01-11,2168, Sentinel 1,6
2020-12-20,1591, Sentinel 1,6
2020-01-02,1253, Sentinel 1,6
2021-09-13,1646, Sentinel 2,5
2016-09-06,1599, Sentinel 2,10
2020-07-28,1161, Sentinel 1,6
2021-08-06,1670, Sentinel 2,10
2020-06-30,1643, Sentinel 2,10
2021-07-25,1727, Sentinel 2,5
2021-02-22,1027, Sentinel 1,6
2019-07-28,1427, Sentinel 1,6
2016-07-28,1519, Sentinel 2,10
2021-09-10,1611, Sentinel 2,10
2021-09-14,1130, Sentinel 1,6
2020-04-11,1690, Sentinel 1,6
