mid_date, v [m/yr], satellite, dt (days)
2021-05-06,3193, Sentinel 2,10
2019-09-04,3289, Sentinel 1,12
2021-06-05,3316, Sentinel 1,6
2019-07-13,3487, Sentinel 2,10
2017-06-23,2902, Sentinel 1,12
2016-05-22,2983, Sentinel 1,12
2016-05-12,3223, Sentinel 1,12
2021-10-15,3362, Sentinel 2,10
2022-04-23,3162, Sentinel 2,10
2017-08-03,3291, Sentinel 2,5
2020-09-02,3319, Sentinel 1,6
2016-05-17,3273, Sentinel 1,12
2018-07-21,3423, Sentinel 2,5
2022-06-20,2993, Sentinel 1,12
2021-09-09,3311, Sentinel 1,6
2019-08-03,3457, Sentinel 1,6
2021-06-25,3174, Sentinel 1,12
2022-08-16,3311, Sentinel 2,10
2021-05-21,3277, Sentinel 1,12
2022-07-05,3256, Sentinel 2,10
2021-11-04,3328, Sentinel 2,10
2021-08-09,3656, Sentinel 2,5
2022-08-02,3041, Sentinel 1,12
2021-05-23,3484, Sentinel 1,6
2019-08-08,3610, Sentinel 1,6
2019-10-16,3230, Sentinel 1,12
2022-07-28,3182, Sentinel 1,12
2016-10-17,3399, Sentinel 1,6
2022-09-03,3448, Sentinel 2,5
2020-05-10,3453, Sentinel 1,6
2022-04-06,3406, Sentinel 2,10
2022-08-29,3296, Sentinel 2,10
2018-08-08,3199, Sentinel 1,6
2018-07-11,3352, Sentinel 2,10
2020-09-14,3016, Sentinel 1,6
2018-05-24,3194, Sentinel 1,12
2019-12-26,3359, Sentinel 1,6
2021-09-21,3348, Sentinel 2,5
2018-06-26,3141, Sentinel 1,6
2019-07-12,3318, Sentinel 1,12
2019-07-18,3672, Sentinel 2,10
2018-07-21,3482, Sentinel 1,6
2017-08-18,3355, Sentinel 1,6
2019-06-10,3305, Sentinel 1,6
2020-05-25,3391, Sentinel 1,12
2019-09-26,3447, Sentinel 1,6
2019-04-23,3310, Sentinel 1,6
2019-08-22,3494, Sentinel 2,10
2017-08-13,3332, Sentinel 1,6
2021-06-28,3243, Sentinel 1,6
2015-06-04,3313, Sentinel 1,12
2020-07-22,3514, Sentinel 1,6
2021-10-06,3407, Sentinel 2,5
2022-10-10,3270, Sentinel 2,10
2022-05-05,3274, Sentinel 1,12
2021-05-13,3229, Sentinel 2,10
2021-05-08,3245, Sentinel 2,10
2021-09-03,3406, Sentinel 2,10
2021-09-20,3377, Sentinel 2,10
2022-05-03,2717, Sentinel 1,12
2019-06-07,3246, Sentinel 1,12
2017-07-05,3315, Sentinel 1,12
2020-07-13,3382, Sentinel 1,12
2019-07-01,3332, Sentinel 1,12
2016-12-29,3280, Sentinel 1,6
2021-01-10,3276, Sentinel 1,12
2020-10-20,3426, Sentinel 1,6
2021-08-09,3417, Sentinel 1,6
2018-07-05,3169, Sentinel 1,12
2022-10-01,3094, Sentinel 1,12
2021-05-14,3127, Sentinel 2,5
2020-12-21,3246, Sentinel 1,6
2019-08-15,3479, Sentinel 2,10
2022-08-17,3186, Sentinel 2,5
2022-05-31,3193, Sentinel 2,10
2020-06-12,3251, Sentinel 1,12
2021-10-01,3318, Sentinel 2,5
2021-06-07,3298, Sentinel 1,12
2020-07-15,3532, Sentinel 2,10
2021-08-15,3470, Sentinel 1,6
2021-05-06,3304, Sentinel 2,5
2019-06-06,3230, Sentinel 2,5
2018-08-27,3391, Sentinel 2,10
2016-08-26,3333, Sentinel 1,12
2022-06-08,3009, Sentinel 1,12
2018-07-17,3179, Sentinel 1,12
2021-05-01,3274, Sentinel 2,5
2020-05-11,3351, Sentinel 1,6
2016-11-16,3339, Sentinel 1,6
2021-07-04,3353, Sentinel 1,6
2021-06-27,3262, Sentinel 1,12
2019-09-02,3311, Sentinel 1,6
2018-12-05,3272, Sentinel 1,6
2017-10-23,3360, Sentinel 1,6
2022-08-04,3258, Sentinel 2,10
2020-05-29,3240, Sentinel 1,6
2020-06-07,3231, Sentinel 1,12
2016-10-29,3331, Sentinel 1,6
2016-05-12,3088, Sentinel 1,12
2016-08-21,3271, Sentinel 1,12
2020-06-03,3311, Sentinel 1,6
2021-09-27,3153, Sentinel 1,6
2021-10-03,3428, Sentinel 2,10
2017-07-23,3516, Sentinel 2,10
2022-05-16,3129, Sentinel 2,10
2019-11-01,2829, Sentinel 1,6
2016-08-27,3377, Sentinel 2,10
2015-06-28,3185, Sentinel 1,12
2022-08-14,3155, Sentinel 1,12
2022-09-02,3234, Sentinel 1,12
2018-06-11,3119, Sentinel 2,5
2017-06-04,3256, Sentinel 1,12
2021-05-03,3120, Sentinel 1,12
2020-07-10,3391, Sentinel 1,6
2016-04-30,3244, Sentinel 1,12
2022-05-04,3183, Sentinel 2,5
2020-05-28,3300, Sentinel 1,6
2018-01-24,3300, Sentinel 1,6
2019-06-12,3233, Sentinel 1,12
2018-06-29,3138, Sentinel 1,12
2021-10-16,3616, Sentinel 2,5
2021-09-13,3401, Sentinel 2,5
2016-09-06,3391, Sentinel 2,10
2020-07-28,3380, Sentinel 1,6
2021-08-06,3559, Sentinel 2,10
2020-06-30,3531, Sentinel 2,10
2021-07-25,3582, Sentinel 2,5
2019-07-28,3522, Sentinel 1,6
2016-07-28,3443, Sentinel 2,10
2017-07-17,3231, Sentinel 1,12
2021-09-10,3443, Sentinel 2,10
2021-09-14,3367, Sentinel 1,6
2019-07-03,3561, Sentinel 1,6
2020-07-13,3554, Sentinel 2,5
2016-04-18,3178, Sentinel 1,12
2022-10-18,3253, Sentinel 2,10
2018-08-19,3188, Sentinel 1,6
2021-10-02,2932, Sentinel 1,6
2017-10-03,3303, Sentinel 1,12
2019-08-15,3479, Sentinel 2,5
2020-07-20,3570, Sentinel 2,5
2022-09-26,3240, Sentinel 1,12
2018-08-30,3421, Sentinel 2,5
2019-07-04,3394, Sentinel 1,6
2017-10-24,3370, Sentinel 1,6
2022-08-22,3348, Sentinel 2,5
2019-06-16,3385, Sentinel 1,6
2017-10-06,3446, Sentinel 1,6
2019-07-06,3327, Sentinel 1,12
2018-05-28,3262, Sentinel 1,6
2018-05-16,2657, Sentinel 1,6
2020-06-16,3488, Sentinel 1,6
2019-06-22,3150, Sentinel 1,6
2018-10-07,3373, Sentinel 1,6
2016-11-22,3415, Sentinel 1,6
2017-08-07,3337, Sentinel 1,6
2021-07-23,3421, Sentinel 2,5
2020-08-09,3501, Sentinel 2,10
2021-08-04,3582, Sentinel 2,5
2021-06-01,3179, Sentinel 1,12
2020-07-17,3516, Sentinel 2,10
2019-06-03,3252, Sentinel 2,10
2021-07-18,3744, Sentinel 2,5
2018-09-27,3327, Sentinel 1,12
2017-01-14,3425, Sentinel 1,6
2017-06-23,3362, Sentinel 2,10
2022-03-12,3070, Sentinel 2,10
2022-08-19,3296, Sentinel 2,10
2018-06-05,3081, Sentinel 1,12
2021-07-12,3516, Sentinel 2,10
2020-06-10,3355, Sentinel 1,6
2022-05-08,3193, Sentinel 2,10
2022-04-28,3168, Sentinel 1,12
2018-09-06,3356, Sentinel 1,6
2018-01-30,3079, Sentinel 1,6
2022-06-03,3304, Sentinel 2,5
2018-06-06,3104, Sentinel 1,12
2017-06-14,3358, Sentinel 1,6
2019-06-24,3234, Sentinel 1,12
2020-12-27,3261, Sentinel 1,6
2020-07-03,3444, Sentinel 1,6
2019-02-27,3297, Sentinel 1,6
2021-08-01,3582, Sentinel 2,10
2018-05-27,3138, Sentinel 1,6
2021-04-29,3072, Sentinel 1,6
2021-07-02,3260, Sentinel 1,12
2017-08-06,3403, Sentinel 1,6
2021-05-05,3215, Sentinel 1,6
2017-06-13,3390, Sentinel 2,10
2021-07-28,3744, Sentinel 2,5
2018-11-24,2673, Sentinel 1,6
2016-06-05,3190, Sentinel 1,12
2019-06-13,3450, Sentinel 2,10
2021-04-26,3246, Sentinel 2,10
2018-08-28,3179, Sentinel 1,12
2017-06-17,3191, Sentinel 1,12
2020-05-01,3209, Sentinel 1,12
2020-06-20,3421, Sentinel 2,10
2021-09-26,3538, Sentinel 2,5
2020-05-07,3592, Sentinel 1,12
2016-10-23,3407, Sentinel 1,6
2017-01-08,3601, Sentinel 1,6
2017-09-21,3370, Sentinel 1,12
2018-07-24,3306, Sentinel 1,12
2020-05-16,3268, Sentinel 1,6
2022-08-06,3280, Sentinel 2,10
2019-05-23,3140, Sentinel 1,6
2019-07-10,3020, Sentinel 1,6
2021-06-13,3245, Sentinel 2,5
2022-05-29,3098, Sentinel 2,5
2022-07-30,3230, Sentinel 2,5
2019-11-01,3460, Sentinel 2,5
