Date,Discharge,Error,Coverage
2016-01-16,7.287371233184419,0.687126401420776,0.9156384063502956
2016-01-28,7.304029782780103,0.6876106111629011,0.9237279360220554
2016-02-01,7.297772045882531,0.6869520361701782,0.9941913295544372
2016-02-07,7.283784021426237,0.685618364179454,0.9970705177654756
2016-02-09,7.278410596002395,0.685117492785835,0.8936035393967605
2016-02-21,7.242095173505829,0.6818017054713071,0.91174414464757
2016-03-04,7.233510905814389,0.6792669471868541,0.8598863219526374
2016-03-16,7.207533260395037,0.6771947931471782,0.7507634494499114
2016-03-28,7.172019474929388,0.6753186674245563,0.6608171919790143
2016-04-01,7.159961555680183,0.6742787153268145,0.7754341733792209
2016-04-09,7.138276887232594,0.6724287159446766,0.8052423824269189
2016-04-15,7.098151310905481,0.668605689780483,1.0
2016-04-21,7.087934661340513,0.6669070710186892,0.9143697621320092
2016-05-01,7.134234303088672,0.6706999038338282,1.0
2016-05-03,7.14432844365805,0.6716446751856365,0.8053165394532426
2016-05-12,7.151331635281244,0.6724654669223572,0.5143731976666504
2016-05-15,7.148604562822515,0.6724117622953317,0.958597674573725
2016-05-16,7.147785787127687,0.6723437799934051,0.9296200921557862
2016-05-24,7.146850904885322,0.6725233227577235,0.8401578261286524
2016-05-27,7.1485975588867,0.6731871242107759,0.9450176724111348
2016-06-01,7.152228234904802,0.6743483960414172,1.0
2016-06-05,7.155475092056113,0.6751474657963769,0.7915090600290111
2016-06-15,7.18319354512951,0.6786469695942209,1.0
2016-06-18,7.234646249934092,0.6827425397819041,0.90549942754091
2016-06-29,7.4190778931388195,0.6975426305240664,0.8834123096217916
2016-07-01,7.450736706134321,0.7001458576354702,1.0
2016-07-10,7.593429252398808,0.7116303261960797,0.8861815250605357
2016-07-14,7.654027366625059,0.7164716408526026,0.8934184463010948
2016-07-15,7.671775636506565,0.7178265746636481,1.0
2016-07-23,7.599787723561628,0.7138540097396032,0.8394318852791602
2016-07-27,7.562414239088368,0.7112166019785497,0.9690032249156736
2016-08-01,7.506620199691674,0.7070759363611775,1.0
2016-08-04,7.46700223561738,0.7039680890424307,0.9868114641986022
2016-08-08,7.417637776517324,0.7010300681729223,0.9266663378031814
2016-08-12,7.37534492931446,0.6982122894127385,0.99589379517058
2016-08-16,7.337515835798717,0.695599621036824,0.991159538002122
2016-08-19,7.307271826572553,0.6927825466113274,0.957252399976077
2016-08-23,7.261881565258988,0.688700709561027,0.9223668562846884
2016-08-28,7.204875835387467,0.6835394847205812,0.5754233645980158
2016-08-31,7.167975027797547,0.6803730871743496,0.9141961889641748
2016-09-01,7.157281944015161,0.6795709888504714,1.0
2016-09-12,7.085194918635928,0.6745608080912014,0.9690939890631302
2016-09-15,7.060704636498601,0.6718575103105704,1.0
2016-09-21,7.079471377940715,0.6718826664346494,0.950473763618787
2016-09-24,7.102199700336746,0.6734068758960748,0.9659642445547882
2016-09-30,7.239199213574799,0.6847993778921808,0.9688932920719496
2016-10-01,7.259738650704833,0.6868250417439056,0.9941212320442984
2016-10-06,7.359869451437944,0.6969267847318081,0.9862319020274528
2016-10-12,7.384489703237134,0.6981384542889195,0.9590178265391646
2016-10-15,7.399694082954353,0.6977984461496863,0.6823447937502126
2016-10-18,7.399064428226825,0.6964064272536232,0.9946211545521442
2016-10-24,7.306539494403224,0.6877903874964594,0.9599113629792312
2016-10-30,7.233079731379092,0.685126284849476,0.9913428308290456
2016-11-01,7.254706453607215,0.6868761836218656,0.997138654843354
2016-11-05,7.292586728402346,0.6892377101980747,0.9869361556020204
2016-11-11,7.319344889422334,0.6898995064808824,0.9864386041811344
2016-11-17,7.306297738798752,0.6903521106963236,0.9490031190181466
2016-11-19,7.312932419017499,0.6910072666282582,0.9971666764243602
