mid_date, v [m/yr], satellite, dt (days),rolling_avg
2016-01-01,1359, Sentinel 1,12,
2016-01-01,1395, Sentinel 1,12,
2016-01-08,1400, Sentinel 1,12,
2016-01-13,1504, Sentinel 1,12,
2016-01-20,1395, Sentinel 1,12,
2016-01-25,1294, Sentinel 1,12,
2016-01-25,1517, Sentinel 1,12,
2016-02-01,1430, Sentinel 1,12,
2016-02-06,1457, Sentinel 1,12,
2016-02-18,1518, Sentinel 1,12,
2016-03-01,1398, Sentinel 1,12,
2016-03-25,1486, Sentinel 1,12,
2016-04-18,1457, Sentinel 1,12,
2016-04-18,1402, Sentinel 1,12,
2016-04-19,1476, Sentinel 2,10,
2016-04-19,1489, Sentinel 2,10,
2016-04-23,1565, Sentinel 1,12,
2016-04-29,1424, Sentinel 2,10,
2016-04-30,1459, Sentinel 1,12,
2016-04-30,1451, Sentinel 1,12,
2016-05-02,1423, Sentinel 2,10,
2016-05-02,1423, Sentinel 2,10,
2016-05-05,1465, Sentinel 1,12,
2016-05-09,1513, Sentinel 2,10,
2016-05-12,1436, Sentinel 1,12,
2016-05-12,1527, Sentinel 1,12,
2016-05-12,1457, Sentinel 2,10,
2016-05-12,1490, Sentinel 2,10,
2016-05-17,1441, Sentinel 1,12,
2016-05-22,1508, Sentinel 1,12,1451.9666666666667
2016-05-22,1471, Sentinel 2,10,1455.7
2016-05-24,1375, Sentinel 1,12,1455.0333333333333
2016-05-24,1485, Sentinel 1,12,1457.8666666666666
2016-05-29,1461, Sentinel 1,12,1456.4333333333334
2016-06-01,1481, Sentinel 2,10,1459.3
2016-06-03,1339, Sentinel 1,12,1460.8
2016-06-05,1451, Sentinel 1,12,1458.6
2016-06-05,1440, Sentinel 1,12,1458.9333333333334
2016-06-11,1525, Sentinel 2,10,1461.2
2016-07-09,1558, Sentinel 1,12,1462.5333333333333
2016-07-11,1546, Sentinel 1,12,1467.4666666666667
2016-07-11,1624, Sentinel 2,10,1472.0666666666666
2016-07-21,1661, Sentinel 2,10,1478.8666666666666
2016-07-23,1511, Sentinel 1,12,1482.5
2016-07-28,1608, Sentinel 2,10,1486.9
2016-07-28,1601, Sentinel 2,10,1490.6333333333334
2016-07-28,1512, Sentinel 1,12,1488.8666666666666
2016-07-31,1592, Sentinel 2,10,1494.4666666666667
2016-07-31,1596, Sentinel 2,10,1499.0333333333333
2016-08-04,1560, Sentinel 1,12,1502.6666666666667
2016-08-09,1579, Sentinel 1,12,1507.8666666666666
2016-08-14,1575, Sentinel 1,12,1512.9333333333334
2016-08-16,1492, Sentinel 1,12,1513.8333333333333
2016-08-21,1574, Sentinel 1,12,1515.8666666666666
2016-08-26,1490, Sentinel 1,12,1517.6666666666667
2016-08-27,1559, Sentinel 2,10,1518.7333333333333
2016-08-27,1558, Sentinel 2,10,1522.1
2016-08-28,1610, Sentinel 1,12,1526.1
2016-09-02,1467, Sentinel 1,12,1526.9666666666667
2016-09-06,1504, Sentinel 2,10,1526.8333333333333
2016-09-06,1527, Sentinel 2,10,1528.7
2016-09-07,1428, Sentinel 1,12,1530.4666666666667
2016-09-09,1413, Sentinel 1,12,1528.0666666666666
2016-09-14,1395, Sentinel 1,12,1525.8666666666666
2016-09-19,1350, Sentinel 1,12,1521.5
2016-09-23,1339, Sentinel 1,6,1521.5
2016-09-26,1437, Sentinel 1,12,1521.0333333333333
2016-09-29,1360, Sentinel 1,6,1518.3666666666666
2016-10-01,1505, Sentinel 1,12,1517.7
2016-10-02,1476, Sentinel 1,12,1514.9666666666667
2016-10-05,1596, Sentinel 1,6,1516.6333333333334
2016-10-08,1545, Sentinel 1,12,1514.0
2016-10-11,1426, Sentinel 1,6,1506.1666666666667
2016-10-13,1472, Sentinel 1,12,1504.8666666666666
2016-10-14,1514, Sentinel 1,12,1501.7333333333333
2016-10-17,1627, Sentinel 1,6,1502.6
2016-10-20,1453, Sentinel 1,12,1500.6333333333334
2016-10-23,1052, Sentinel 1,6,1482.6333333333334
2016-10-25,1365, Sentinel 1,12,1474.9333333333334
2016-10-26,1350, Sentinel 1,12,1467.9333333333334
2016-10-29,1457, Sentinel 2,10,1463.8666666666666
2016-10-29,1492, Sentinel 2,10,1461.1
2016-10-29,1427, Sentinel 1,6,1458.9333333333334
2016-11-01,1427, Sentinel 1,12,1454.0333333333333
2016-11-04,1309, Sentinel 1,6,1448.0
2016-11-06,1492, Sentinel 1,12,1445.7666666666667
2016-11-07,1417, Sentinel 1,12,1441.0666666666666
2016-11-10,1576, Sentinel 1,6,1439.9333333333334
2016-11-13,1198, Sentinel 1,12,1430.9666666666667
2016-11-16,1420, Sentinel 1,6,1428.1666666666667
2016-11-18,1403, Sentinel 1,12,1424.0333333333333
2016-11-19,1459, Sentinel 1,12,1425.0666666666666
2016-11-22,1487, Sentinel 1,6,1427.5333333333333
2016-11-25,1375, Sentinel 1,12,1426.8666666666666
2016-11-28,1464, Sentinel 1,6,1430.6666666666667
2016-11-30,1499, Sentinel 1,12,1436.0
2016-12-01,1384, Sentinel 1,12,1434.2333333333333
2016-12-04,1446, Sentinel 1,6,1437.1
2016-12-07,1416, Sentinel 1,12,1434.1333333333334
2016-12-10,1442, Sentinel 1,6,1433.0
2016-12-12,1375, Sentinel 1,12,1425.6333333333334
2016-12-13,1510, Sentinel 1,12,1424.4666666666667
2016-12-16,1444, Sentinel 1,6,1425.0666666666666
