mid_date, v [m/yr], satellite, dt (days),rolling_avg
2016-04-19,747, Sentinel 2,10,
2016-04-19,740, Sentinel 2,10,
2016-04-29,633, Sentinel 2,10,
2016-05-02,669, Sentinel 2,10,
2016-05-02,669, Sentinel 2,10,
2016-05-09,685, Sentinel 2,10,
2016-05-12,682, Sentinel 2,10,
2016-05-12,713, Sentinel 2,10,
2016-05-22,771, Sentinel 2,10,
2016-05-24,729, Sentinel 1,12,
2016-06-01,789, Sentinel 2,10,
2016-06-11,674, Sentinel 2,10,
2016-07-11,823, Sentinel 2,10,
2016-07-21,810, Sentinel 2,10,
2016-07-28,778, Sentinel 2,10,
2016-07-28,793, Sentinel 2,10,
2016-07-31,788, Sentinel 2,10,
2016-07-31,780, Sentinel 2,10,
2016-08-09,816, Sentinel 1,12,
2016-08-21,832, Sentinel 1,12,
2016-08-27,771, Sentinel 2,10,
2016-08-27,757, Sentinel 2,10,
2016-08-28,824, Sentinel 1,12,
2016-09-06,737, Sentinel 2,10,
2016-09-06,741, Sentinel 2,10,
2016-09-07,657, Sentinel 1,12,
2016-09-09,662, Sentinel 1,12,
2016-09-29,659, Sentinel 1,6,
2016-10-17,575, Sentinel 1,6,
2016-10-20,576, Sentinel 1,12,729.3333333333334
2016-10-29,643, Sentinel 1,6,725.8666666666667
2016-10-29,737, Sentinel 2,10,725.7666666666667
2016-10-29,702, Sentinel 2,10,728.0666666666667
2017-05-14,720, Sentinel 1,6,729.7666666666667
2017-06-02,733, Sentinel 1,6,731.9
2017-06-05,549, Sentinel 1,12,727.3666666666667
2017-06-06,778, Sentinel 2,10,730.5666666666667
2017-06-06,780, Sentinel 2,10,732.8
2017-06-07,697, Sentinel 1,6,730.3333333333334
2017-06-13,757, Sentinel 2,10,731.2666666666667
2017-06-13,765, Sentinel 2,10,730.4666666666667
2017-06-14,783, Sentinel 1,6,734.1
2017-06-17,770, Sentinel 1,12,732.3333333333334
2017-06-23,780, Sentinel 2,10,731.3333333333334
2017-06-23,610, Sentinel 1,12,725.7333333333333
2017-06-23,788, Sentinel 2,10,725.5666666666667
2017-06-25,835, Sentinel 1,6,727.1333333333333
2017-06-26,548, Sentinel 1,6,719.4
2017-06-29,548, Sentinel 1,12,710.4666666666667
2017-07-01,707, Sentinel 2,5,706.3
2017-07-01,706, Sentinel 2,5,704.1333333333333
2017-07-02,608, Sentinel 1,6,699.1666666666666
2017-07-04,532, Sentinel 1,12,689.4333333333333
2017-07-05,604, Sentinel 1,12,685.0
2017-07-06,780, Sentinel 2,10,686.3
2017-07-06,737, Sentinel 2,10,688.9666666666667
2017-07-07,692, Sentinel 1,6,689.9666666666667
2017-07-08,894, Sentinel 1,6,697.8
2017-07-10,668, Sentinel 1,12,700.9
2017-07-11,777, Sentinel 1,12,707.6
2017-07-13,699, Sentinel 1,6,709.4666666666667
2017-07-14,600, Sentinel 1,6,704.9
2017-07-17,734, Sentinel 1,12,705.9666666666667
2017-07-19,679, Sentinel 1,6,704.6
2017-07-20,599, Sentinel 1,6,700.1333333333333
2017-07-22,770, Sentinel 1,12,707.5
2017-07-23,896, Sentinel 2,10,711.4333333333333
2017-07-23,832, Sentinel 1,12,713.1666666666666
2017-07-23,905, Sentinel 2,10,720.1
2017-07-25,1078, Sentinel 1,6,730.8
2017-07-26,884, Sentinel 1,6,734.7666666666667
2017-07-28,778, Sentinel 1,12,734.6
2017-07-29,772, Sentinel 2,5,734.6666666666666
2017-07-29,796, Sentinel 2,5,735.2
2017-07-29,822, Sentinel 1,12,742.2666666666667
2017-07-31,768, Sentinel 2,5,741.6
2017-07-31,750, Sentinel 2,10,738.7666666666667
2017-07-31,531, Sentinel 1,6,738.2
2017-07-31,748, Sentinel 2,5,744.8666666666667
2017-07-31,757, Sentinel 2,10,746.5333333333333
2017-08-01,698, Sentinel 1,6,746.2666666666667
2017-08-03,707, Sentinel 2,5,749.5666666666667
2017-08-03,706, Sentinel 2,5,755.3666666666667
2017-08-05,780, Sentinel 2,10,761.2333333333333
2017-08-06,1029, Sentinel 1,6,769.5333333333333
2017-08-07,758, Sentinel 2,10,770.2333333333333
2017-08-07,770, Sentinel 1,6,772.8333333333334
2017-08-07,768, Sentinel 2,10,768.6333333333333
2017-08-08,853, Sentinel 2,5,774.8
2017-08-09,908, Sentinel 1,12,779.1666666666666
2017-08-10,768, Sentinel 2,10,781.4666666666667
2017-08-10,780, Sentinel 2,10,787.4666666666667
2017-08-12,595, Sentinel 1,6,782.8333333333334
2017-08-13,750, Sentinel 2,5,785.2
2017-08-13,946, Sentinel 1,6,796.7666666666667
2017-08-15,749, Sentinel 2,5,796.0666666666667
2017-08-15,641, Sentinel 1,12,787.5666666666667
2017-08-16,740, Sentinel 1,12,784.5
2017-08-18,937, Sentinel 1,6,785.5666666666667
2017-08-19,821, Sentinel 1,6,777.0
2017-08-20,734, Sentinel 2,10,772.0
2017-08-21,880, Sentinel 1,12,775.4
2017-08-22,761, Sentinel 1,12,775.0333333333333
2017-08-24,950, Sentinel 1,6,780.1666666666666
