gate,mean_x,mean_y,lon,lat,n_pixels,sector,region,Bjork_2015,Mouginot_2019,Zwally_2012,Moon_2008,Moon_2008_dist
93,-353466,-1587255,-57.5599777260518,75.0728663475698,12,214,NW,Kjer Gletsjer,HAYES_GLETSCHER_N_NN,81,41,3408
96,-351200,-1589200,-57.462167784594,75.0598503314328,4,214,NW,Kjer Gletsjer,HAYES_GLETSCHER_N_NN,81,41,2762
97,-349500,-1590809,-57.3950420050802,75.04878325014,14,214,NW,Kjer Gletsjer,HAYES_GLETSCHER_N_NN,81,41,4046
99,-346600,-1593966,-57.2694519654496,75.0279786087872,19,214,NW,Tuttulikassaap Sermia,HAYES_GLETSCHER_N_NN,81,41,7689
100,-335978,-1605325,-56.8227932913075,74.9467986150297,100,214,NW,Tuttulikassaap Sermia,HAYES_GLETSCHER_N_NN,81,39,4389
101,-327860,-1620980,-56.4406126240878,74.822685154453,24,34,NW,Nunatakassaap Sermia,HAYES_GLETSCHER_M_SS,81,37,3990
108,-322900,-1626653,-56.2314816320663,74.779972843885,18,34,NW,Nunatakassaap Sermia,HAYES_GLETSCHER_M_SS,81,36,8664
109,-322200,-1635666,-56.1442252583582,74.701230151953,10,34,NW,Nunatakassaap Sermia,HAYES_GLETSCHER_M_SS,81,36,5255
110,-316594,-1640300,-55.9252101203843,74.6699744915584,42,33,NW,Nunatakassaap Sermia,ALISON_GLETSCHER,81,35,7064
111,623205,-1645800,-24.2525421227512,73.8591659158341,26,139,NE,Waltershausen Gletsjer,WALTERSHAUSEN,31,112,1467
112,-317277,-1650033,-55.8886352545901,74.5812639974163,40,33,NW,Nunatakassaap Sermia,ALISON_GLETSCHER,81,35,6475
113,569233,-1652766,-25.9875194576408,73.9675804008194,14,138,NE,Nunatakgletsjer,ADOLF_HOEL,31,113,4977
114,-321780,-1666780,-55.9286223878567,74.4258143916771,39,32,NW,Illullip Sermia,ILLULLIP_SERMIA,81,34,4009
115,-324481,-1685500,-55.9013814928426,74.2535763662144,36,31,NW,Ikissuup Sermersua,CORNELL_GLETSCHER,81,32,4735
116,-327644,-1692233,-55.9630904990866,74.1875351374423,13,31,NW,Ikissuup Sermersua,CORNELL_GLETSCHER,81,32,6610
117,547125,-1708400,-27.2390371656665,73.5513554513438,19,140,NE,Gerard de Geer Gletsjer,GERARD_DE_GEER,31,114,4344
118,-323823,-1713530,-55.7079415855037,74.0052607909041,18,30,NW,Sermeq Avanarleq,USSING_BRAEER_N,81,31,6502
119,-320900,-1718245,-55.5820434162412,73.9675304522351,25,30,NW,Sermeq Avanarleq,USSING_BRAEER_N,81,31,4041
120,539300,-1721500,-27.6010445181212,73.4604948764044,10,141,NE,Jttegletsjer,JAETTEGLETSCHER,31,115,4814
121,-318484,-1731546,-55.4263111535229,73.853894935863,32,29,NW,Sermeq Kujalleq,USSING_BRAEER,81,30,5555
122,-321283,-1735600,-55.4910369579082,73.8118750334637,9,29,NW,Sermeq Kujalleq,USSING_BRAEER,81,30,4213
123,-323600,-1756533,-55.4388938206776,73.6230114142152,22,28,NW,Qeqertarsuup Sermia,QEQERTARSUUP_SERMIA,81,29,4658
124,541000,-1758000,-27.8885916085652,73.1394298451137,9,142,NE,Nordenskild Gletsjer,NORDENSKIOLD_NE,31,116,4827
125,-317288,-1771911,-55.1559029020321,73.4958682595798,49,27,NW,Kakiffaat Sermiat,KAKIVFAAT_SERMIAT,81,27,5657
126,-311500,-1781820,-54.9191426287643,73.4158914328876,6,27,NW,Kakiffaat Sermiat,KAKIVFAAT_SERMIAT,81,26,5648
127,560300,-1787100,-27.5882333524421,72.8375688234943,7,144,NE,Hisinger Gletsjer,HISINGER_GLETSCHER,31,117,4801
128,-318000,-1796875,-55.0359720275697,73.2721857657792,30,26,NW,Naajarsuit Sermiat,NUNATAKASSAAP_SERMIA,81,25,5044
129,-306111,-1820344,-54.5485589690492,73.081768388998,30,86,NW,Akullikassaap Sermia,UPERNAVIK_ISSTROM_N,81,24,8963
130,-296988,-1823723,-54.249653001205,73.0650195647158,26,86,NW,Akullikassaap Sermia,UPERNAVIK_ISSTROM_N,81,23,4056
131,-295233,-1837788,-54.1317214648846,72.942382662004,33,207,NW,Sermeq,UPERNAVIK_ISSTROM_C,81,22,6614
132,-296780,-1847540,-54.1264101557306,72.85292095625,18,208,NW,Sermeq,UPERNAVIK_ISSTROM_S,81,21,6107
133,-297300,-1857614,-54.0951607009343,72.7610547529316,9,25,NW,Sermeq,UPERNAVIK_ISSTROM_SS,81,20,4948
134,544900,-1870700,-28.7564974727982,72.1552641597286,15,203,CE,Daugaard-Jensen Gletsjer,F_GRAAE,31,118,4225
135,538200,-1884450,-29.0546914194884,72.0521673284857,8,204,CE,Daugaard-Jensen Gletsjer,CHARCOT,31,119,5862
136,555121,-1898973,-28.7013746561557,71.8853791333836,24,60,CE,Daugaard-Jensen Gletsjer,DAUGAARD-JENSEN,31,120,3418
137,-254344,-1937700,-52.4789147551142,72.1022578551031,17,23,NW,Salliarutsip Sermia,INNGIA_ISBRAE,72,19,8364
138,-255470,-1973600,-52.3782115566338,71.7790079273341,19,1,NW,Umiammakku Sermiat,UMIAMMAKKU_ISBRAE,72,18,3975
139,-224240,-1976370,-51.4770221975865,71.789654427808,37,3,CW,Kangilliup Sermia,RINK_ISBRAE,72,17,6099
140,592600,-1989550,-28.407181289556,71.0071743174456,12,61,CE,Eielson Gletsjer,EIELSON_HARE_FJORD-ROLIGE,31,239,1317
141,-218757,-2012985,-51.2026443873944,71.4675310916285,24,4,CW,Kangerlussuup Sermia,KANGERLUSSUUP_SERMERSUA,72,16,6357
142,795200,-2030500,-23.6068503048701,70.0661460817013,8,156,CE,Rolige Br,GEIKIE3,32,131,4060
144,758550,-2031800,-24.525748365077,70.172332531049,7,156,CE,Rolige Br,GEIKIE3,32,130,26156
145,786540,-2032100,-23.837695834232,70.0814088134868,11,156,CE,Rolige Br,GEIKIE3,32,130,4547
146,605800,-2035837,-28.4234529977322,70.5736504028063,23,61,CE,Rolige Br,EIELSON_HARE_FJORD-ROLIGE,31,122,4484
147,733578,-2035400,-25.1794603818821,70.2192498846291,19,154,CE,Rolige Br,BREDEGLETSJER,32,129,3691
148,694540,-2057700,-26.346372692209,70.1464515632585,21,153,CE,Rolige Br,SYDBR,32,128,3452
149,-206850,-2068175,-50.7146983278559,70.9845157435984,25,6,CW,Sermeq Avannarleq,SERMEQ_SILARLEQ,72,14,7353
150,584150,-2067600,-29.2227916192479,70.353938547058,18,76,CE,Vestfjord Gletsjer,VESTFJORD,31,124,4881
151,-206488,-2082188,-50.6656053994718,70.8596209434641,30,6,CW,Sermeq Silarleq,SERMEQ_SILARLEQ,72,13,6710
152,671876,-2089794,-27.172701331712,69.9373147930372,39,98,CE,Rolige Br,MAGGA_DAN_GLETSCHER,32,127,3063
153,-202800,-2091300,-50.537687864355,70.7806572470213,19,7,CW,Sisoortartukassak,CW_NONAME2,72,12,7613
154,656833,-2093050,-27.5729277585077,69.9489780399709,17,2,CE,Vestfjord Gletsjer,GEIKIE_UNNAMED_VESTFORD_S,32,126,4335
155,645900,-2094780,-27.8598370370129,69.9645749335471,7,2,CE,Vestfjord Gletsjer,GEIKIE_UNNAMED_VESTFORD_S,32,125,6353
156,637957,-2096100,-28.0705817583094,69.9735813114827,15,2,CE,Vestfjord Gletsjer,GEIKIE_UNNAMED_VESTFORD_S,32,125,4234
157,-203866,-2102916,-50.5397149675197,70.6758671765028,24,8,CW,Sermilik,LILLE_GLETSCHER,72,11,5412
158,-202328,-2114700,-50.4660176817186,70.5717319517872,11,8,CW,Sermeq Avannarleq,LILLE_GLETSCHER,72,10,5131
159,-199592,-2122238,-50.3716178362815,70.506155506117,32,9,CW,Sermeq Avannarleq,STORE_GLETSCHER,72,10,5463
160,766766,-2127300,-25.1769550628728,69.344508396765,27,158,CE,Grnlands Styrelse Gletsjer,DENDRITGLETSCHER,32,134,4215
161,-204500,-2132006,-50.4802560976183,70.4143116465233,29,9,CW,Sermeq Kujalleq,STORE_GLETSCHER,72,9,3166
162,756600,-2144666,-25.5627180010482,69.2279202640289,12,234,CE,Grnlands Styrelse Gletsjer,GEIKIE7,32,135,4935
163,-196708,-2168400,-50.1843918455463,70.0955881638753,34,10,CW,Sermeq Avannarleq,SERMEQ_AVANNARLEQ2,72,8,5402
165,-194625,-2181560,-50.1015314902149,69.9810822289765,44,81,CW,Sermeq Kujalleq,SERMEQ_KUJALLEQ,72,7,2528
166,745866,-2178833,-26.099397318953,68.9707476269284,18,157,CE,Gino Gletsjer,GEIKIE6,32,136,6730
173,-199400,-2186950,-50.2085656717133,69.9291585261256,12,82,CW,Kangilernata Sermia,KANGILERNGATA_SERMIA,72,6,5344
176,-196136,-2200027,-50.0947895796685,69.81389370637,28,72,CW,Eqip Sermia,EQIP_SERMIA,72,5,5923
177,679130,-2237007,-28.1111058313764,68.6592105070507,19,152,CE,Gino Gletsjer,BORGGRAVEN,32,142,6276
178,-206345,-2246100,-50.2491040342797,69.3953490918189,18,222,CW,Sermeq Avannarleq,SERMEQ_AVANNARLEQ,72,4,3776
179,664445,-2259354,-28.6080336362326,68.5066272927804,34,151,CE,Korridoren,KRONBORG,32,143,5808
180,-180364,-2268988,-49.5446806944015,69.2119292557567,177,218,CW,Sermeq Kujalleq,JAKOBSHAVN_ISBRAE,71,3,7560
181,654612,-2267200,-28.8911659530971,68.4625490595457,10,150,CE,Korridoren,ROSENBORG,32,145,6004
182,644200,-2267400,-29.1354143621469,68.4863908273892,6,150,CE,Korridoren,ROSENBORG,32,146,4953
183,606500,-2279900,-30.1010130648964,68.4691496054075,8,74,CE,Christian IV Gletsjer,KONG_CHRISTIAN,32,147,9552
184,510100,-2281100,-32.3931086073724,68.6633326041171,7,251,CE,Styrtegletsjer,STYRTE,33,151,4101
185,605518,-2286972,-30.1680295960351,68.4110619517509,47,74,CE,Sorgenfri Gletsjer,KONG_CHRISTIAN,32,147,3633
186,483816,-2287044,-33.0519951633227,68.6607182163319,27,102,CE,Kangerlussuaq Gletsjer,KANGERLUSSUAQ,33,153,6014
187,522900,-2291400,-32.1439102185657,68.5475771724451,4,252,CE,Courtauld Gletsjer,COURTAULD,33,150,4921
188,488572,-2300900,-33.011973581431,68.5316707540013,13,62,CE,Apuseeq Qinnilik,UNNAMED_KANGER_W,33,216,2842
189,579225,-2301250,-30.8686746761889,68.3451068365015,15,75,CE,Sorgenfri Gletsjer,SORGENFRI,32,148,4408
190,493400,-2302900,-32.903079133363,68.5049019455234,12,97,CE,Apuseeq Qinnilik,UNNAMED_KANGER_E,33,216,4238
191,-211611,-2306100,-50.2463056536957,68.856592537006,21,219,CW,Saqqarliup Sermia,SAQQARLIUP_ALANGORLIUP,62,1,3978
193,552880,-2309780,-31.5359117417105,68.3284884793408,20,100,CE,Frederiksborg Gletsjer,FREDERIKSBORG_GLETSCHER,32,149,5536
196,512700,-2335536,-32.6169214595205,68.1843768630422,22,254,CE,Frederiksborg Gletsjer,UNNAMED_DECEPTION_N,33,154,22965
197,524914,-2339100,-32.350532461149,68.1294754794754,8,254,CE,Frederiksborg Gletsjer,UNNAMED_DECEPTION_N,33,154,10548
198,531266,-2340900,-32.2108678121999,68.1012642798195,16,254,CE,Frederiksborg Gletsjer,UNNAMED_DECEPTION_N,33,154,4753
199,525818,-2361100,-32.4415742658144,67.9361885296267,19,249,CE,Frederiksborg Gletsjer,POLARIC-DECEPTION_O_N,33,155,5844
200,520425,-2363600,-32.5797559966602,67.9239744648209,7,249,CE,Frederiksborg Gletsjer,POLARIC-DECEPTION_O_N,33,155,6270
201,516157,-2369985,-32.7127925104069,67.8784057216344,26,249,CE,Frederiksborg Gletsjer,POLARIC-DECEPTION_O_N,33,156,4566
202,493300,-2383433,-33.3054481269007,67.8020977170534,13,124,CE,Apuseeq Qinnilik,UNNAMED_POLARIC_S,33,158,5219
203,487588,-2384900,-33.4458351812612,67.8002908970737,12,124,CE,Apuseeq Qinnilik,UNNAMED_POLARIC_S,33,158,5214
204,485700,-2390900,-33.5154904211847,67.7511392940037,5,124,CE,Apuseeq Qinnilik,UNNAMED_POLARIC_S,33,158,6350
205,490400,-2404150,-33.4670259853805,67.6274707417465,10,95,CE,Apuseeq Qinnilik,UNNAMED_DECEPTION_O_CN_CS,33,159,3818
206,488586,-2409021,-33.5360186021044,67.5874127486274,48,95,CE,Apuseeq Qinnilik,UNNAMED_DECEPTION_O_CN_CS,33,160,3558
207,486340,-2425140,-33.6596655287539,67.4517377092853,25,248,CE,K.J.V. Steenstrup Nordre Br,UNNAMED_UUNARTIT_ISLANDS,33,161,6398
208,483200,-2454620,-33.8603860882313,67.1988017018426,19,255,CE,K.J.V. Steenstrup Nordre Br,KRUUSE_FJORD,33,162,4849
209,472066,-2475300,-34.2008069405203,67.0380445168095,18,255,CE,K.J.V. Steenstrup Nordre Br,KRUUSE_FJORD,33,162,28167
210,472400,-2479133,-34.2080557439146,67.0042245698376,10,255,CE,K.J.V. Steenstrup Nordre Br,KRUUSE_FJORD,33,217,29213
211,476100,-2484728,-34.1517119966765,66.9493761616543,9,123,CE,K.J.V. Steenstrup Nordre Br,LAUBE_GLETSCHER,33,217,23736
212,471500,-2505500,-34.341267306636,66.775588802571,5,122,CE,K.J.V. Steenstrup Nordre Br,UNNAMED_LAUBE_S,33,217,3475
