mid_date, v [m/yr], satellite, dt (days)
2019-07-30,1566, Sentinel 1,12
2019-07-06,1698, Sentinel 2,5
2015-08-03,1433, Sentinel 1,12
2021-03-06,1481, Sentinel 1,6
2018-08-17,1553, Sentinel 1,12
2019-02-04,1995, Sentinel 1,6
2019-08-11,1613, Sentinel 1,12
2020-08-24,1575, Sentinel 1,12
2021-10-11,1521, Sentinel 2,5
2018-06-26,1332, Sentinel 1,6
2017-10-18,1360, Sentinel 1,6
2022-09-30,1464, Sentinel 2,10
2018-12-23,1599, Sentinel 1,6
2018-11-17,1784, Sentinel 1,6
2021-12-14,1423, Sentinel 1,6
2019-05-27,1501, Sentinel 2,5
2020-07-09,1518, Sentinel 1,6
2018-01-15,1455, Sentinel 1,12
2017-11-17,1096, Sentinel 1,6
2018-09-24,1489, Sentinel 2,10
2018-07-12,1395, Sentinel 1,12
2022-07-09,1542, Sentinel 1,12
2022-08-31,1609, Sentinel 1,12
2017-07-01,1476, Sentinel 2,5
2019-12-19,1559, Sentinel 1,6
2021-01-04,1406, Sentinel 1,12
2018-07-20,1486, Sentinel 1,6
2022-06-20,1623, Sentinel 2,5
2020-01-19,1145, Sentinel 1,6
2021-06-15,1459, Sentinel 1,12
2020-06-28,1573, Sentinel 1,6
2019-06-19,1580, Sentinel 2,5
2022-04-26,1420, Sentinel 2,5
2016-07-21,1661, Sentinel 2,10
2020-12-01,1838, Sentinel 1,6
2020-07-28,1649, Sentinel 1,6
2018-10-01,1441, Sentinel 1,6
2021-07-02,1643, Sentinel 1,12
2021-01-26,1578, Sentinel 1,12
2021-05-03,1490, Sentinel 1,12
2022-09-08,1514, Sentinel 2,5
2022-10-03,1479, Sentinel 2,10
2021-10-11,1506, Sentinel 2,5
2017-08-13,1553, Sentinel 1,6
2021-04-11,1443, Sentinel 2,5
2019-10-17,1390, Sentinel 1,12
2017-10-08,1373, Sentinel 1,12
2022-05-09,1349, Sentinel 2,5
2017-08-07,1558, Sentinel 2,10
2016-04-19,1476, Sentinel 2,10
2018-09-22,1344, Sentinel 2,5
2019-08-12,1597, Sentinel 1,12
2021-01-24,1276, Sentinel 1,6
2019-11-16,1566, Sentinel 1,12
2017-09-15,1514, Sentinel 1,12
2016-10-20,1453, Sentinel 1,12
2019-05-29,1492, Sentinel 2,10
2016-04-23,1565, Sentinel 1,12
2018-04-16,1371, Sentinel 1,6
2017-06-16,1317, Sentinel 1,12
2017-03-01,1598, Sentinel 1,12
2018-07-26,1446, Sentinel 1,6
2020-04-19,1649, Sentinel 1,12
2020-06-27,1643, Sentinel 2,10
2020-10-02,1560, Sentinel 1,6
2020-08-06,1529, Sentinel 1,12
2021-07-19,1572, Sentinel 1,12
2018-07-11,1471, Sentinel 1,12
2021-10-18,1480, Sentinel 2,5
2022-06-30,1514, Sentinel 2,5
2017-08-09,1481, Sentinel 1,12
2022-06-15,1488, Sentinel 1,12
2021-01-19,1585, Sentinel 1,6
2018-11-21,1443, Sentinel 1,12
2018-10-19,1494, Sentinel 2,10
2021-06-07,1557, Sentinel 1,12
2019-11-01,1492, Sentinel 2,5
2020-12-12,1621, Sentinel 1,6
2020-09-19,1391, Sentinel 1,6
2022-07-15,1635, Sentinel 2,10
2019-06-12,1407, Sentinel 1,12
2020-08-06,1641, Sentinel 2,10
2019-03-24,1743, Sentinel 1,6
2021-02-17,1358, Sentinel 1,6
2020-02-16,1796, Sentinel 1,6
2018-01-16,1217, Sentinel 1,6
2021-02-11,1710, Sentinel 1,6
2018-09-09,1495, Sentinel 1,12
2021-09-23,1545, Sentinel 2,10
2017-12-10,1429, Sentinel 1,6
2018-01-07,1208, Sentinel 1,12
2018-08-08,1506, Sentinel 1,6
2017-06-23,1540, Sentinel 2,10
2021-05-12,1620, Sentinel 1,6
2020-09-06,1522, Sentinel 2,5
2017-10-29,1376, Sentinel 1,6
2019-11-04,1749, Sentinel 1,12
2019-01-09,1465, Sentinel 1,12
2019-10-04,1578, Sentinel 2,10
2020-08-04,1648, Sentinel 2,5
2019-04-02,1480, Sentinel 2,5
2017-02-07,1536, Sentinel 1,6
2018-01-05,1424, Sentinel 1,6
2022-06-25,1467, Sentinel 2,5
2017-11-08,1577, Sentinel 1,12
2017-11-02,1348, Sentinel 1,12
2018-01-01,1270, Sentinel 1,12
2018-05-09,1206, Sentinel 1,6
2020-05-04,1749, Sentinel 1,6
2019-07-22,1558, Sentinel 1,6
2021-10-05,1536, Sentinel 2,10
2022-05-11,1560, Sentinel 2,5
2020-11-23,1521, Sentinel 1,12
2020-02-26,1599, Sentinel 1,12
2022-06-28,1372, Sentinel 2,5
2021-07-27,1693, Sentinel 2,10
2019-01-06,1883, Sentinel 1,6
2021-09-17,1413, Sentinel 1,12
2021-05-18,1557, Sentinel 2,10
2021-03-19,1197, Sentinel 1,6
2021-10-09,1359, Sentinel 1,6
2019-06-04,1483, Sentinel 1,6
2020-12-28,1369, Sentinel 1,12
2022-05-29,1515, Sentinel 2,5
2022-11-01,1574, Sentinel 1,12
2019-08-18,1508, Sentinel 2,5
2019-09-04,1378, Sentinel 1,12
2016-01-01,1395, Sentinel 1,12
2020-07-15,1620, Sentinel 1,6
2021-06-08,1515, Sentinel 1,12
