mid_date, v [m/yr], satellite, dt (days)
2021-05-06,477, Sentinel 2,10
2018-09-09,547, Sentinel 1,12
2019-07-13,457, Sentinel 2,10
2016-05-02,439, Sentinel 2,10
2021-11-13,414, Sentinel 1,6
2022-07-25,450, Sentinel 2,10
2018-04-04,278, Sentinel 1,6
2019-08-20,383, Sentinel 1,6
2020-08-09,601, Sentinel 1,6
2019-08-10,493, Sentinel 2,5
2021-10-15,464, Sentinel 2,10
2021-01-19,427, Sentinel 1,6
2017-08-03,393, Sentinel 2,5
2018-07-21,541, Sentinel 2,5
2019-08-03,563, Sentinel 1,6
2022-08-16,469, Sentinel 2,10
2018-07-23,470, Sentinel 2,10
2018-10-19,448, Sentinel 2,10
2021-11-04,444, Sentinel 2,10
2020-06-27,619, Sentinel 2,10
2016-07-28,489, Sentinel 2,10
2022-05-06,427, Sentinel 2,10
2021-11-20,333, Sentinel 1,6
2020-07-07,446, Sentinel 2,10
2017-12-30,345, Sentinel 1,6
2020-07-13,512, Sentinel 2,5
2021-08-22,492, Sentinel 1,6
2020-01-19,289, Sentinel 1,6
2022-04-06,440, Sentinel 2,10
2021-10-03,464, Sentinel 2,10
2018-08-08,577, Sentinel 1,6
2018-07-11,467, Sentinel 2,10
2020-06-17,458, Sentinel 2,10
2020-09-14,521, Sentinel 1,6
2017-01-15,520, Sentinel 1,6
2019-12-26,424, Sentinel 1,6
2018-08-22,440, Sentinel 2,10
2021-09-21,529, Sentinel 2,5
2019-07-18,450, Sentinel 2,10
2017-08-18,455, Sentinel 1,6
2019-08-22,476, Sentinel 2,10
2017-08-13,786, Sentinel 1,6
2021-08-24,526, Sentinel 2,10
2019-09-17,526, Sentinel 1,12
2021-10-06,510, Sentinel 2,5
2019-07-11,399, Sentinel 2,5
2022-10-10,458, Sentinel 2,10
2017-07-31,484, Sentinel 2,5
2018-08-30,656, Sentinel 2,5
2019-08-26,522, Sentinel 1,6
2021-05-13,412, Sentinel 2,10
2021-05-08,426, Sentinel 2,10
2016-04-29,443, Sentinel 2,10
2019-08-15,473, Sentinel 2,10
2021-09-03,464, Sentinel 2,10
2022-06-20,696, Sentinel 2,5
2021-06-25,466, Sentinel 2,10
2022-10-01,493, Sentinel 1,12
2021-05-14,334, Sentinel 2,5
2019-12-13,527, Sentinel 1,6
2019-07-08,469, Sentinel 2,10
2022-06-03,543, Sentinel 2,5
2020-09-26,397, Sentinel 1,6
2019-08-15,450, Sentinel 2,10
2022-08-17,664, Sentinel 2,5
2015-08-15,401, Sentinel 1,12
2022-05-31,328, Sentinel 2,10
2021-10-01,518, Sentinel 2,5
2016-09-06,489, Sentinel 2,10
2020-07-15,469, Sentinel 2,10
2019-09-13,306, Sentinel 1,6
2021-05-06,510, Sentinel 2,5
2022-06-27,323, Sentinel 2,10
2018-08-27,558, Sentinel 2,10
2016-08-26,490, Sentinel 1,12
2019-10-19,440, Sentinel 2,5
2015-10-02,396, Sentinel 1,12
2019-09-02,201, Sentinel 1,6
2018-12-05,541, Sentinel 1,6
2020-10-06,335, Sentinel 2,5
2021-10-23,529, Sentinel 2,10
2020-05-16,328, Sentinel 2,5
2016-08-21,472, Sentinel 1,12
2021-09-27,316, Sentinel 1,6
2022-07-25,489, Sentinel 2,5
2021-10-03,478, Sentinel 2,10
2017-07-23,432, Sentinel 2,10
2022-05-16,600, Sentinel 2,10
2019-11-01,418, Sentinel 1,6
2018-07-09,478, Sentinel 2,5
2016-08-27,460, Sentinel 2,10
2020-08-06,470, Sentinel 2,10
