mid_date, v [m/yr], satellite, dt (days)
2019-07-06,1018, Sentinel 2,5
2015-08-03,764, Sentinel 1,12
2018-08-17,843, Sentinel 1,12
2020-08-24,630, Sentinel 1,12
2021-10-11,788, Sentinel 2,5
2022-09-30,674, Sentinel 2,10
2019-05-27,709, Sentinel 2,5
2017-11-17,696, Sentinel 1,6
2018-09-24,642, Sentinel 2,10
2017-07-01,706, Sentinel 2,5
2022-06-20,853, Sentinel 2,5
2021-06-15,868, Sentinel 1,12
2019-06-19,851, Sentinel 2,5
2022-04-26,631, Sentinel 2,5
2016-07-21,810, Sentinel 2,10
2020-07-28,767, Sentinel 1,6
2022-09-08,768, Sentinel 2,5
2022-10-03,799, Sentinel 2,10
2021-10-11,748, Sentinel 2,5
2017-08-13,946, Sentinel 1,6
2021-04-11,761, Sentinel 2,5
2017-10-08,696, Sentinel 1,12
2022-05-09,529, Sentinel 2,5
2017-08-07,768, Sentinel 2,10
2016-04-19,740, Sentinel 2,10
2018-09-22,536, Sentinel 2,5
2017-09-15,667, Sentinel 1,12
2016-10-20,576, Sentinel 1,12
2019-05-29,764, Sentinel 2,10
2020-06-27,935, Sentinel 2,10
2020-08-06,745, Sentinel 1,12
2021-10-18,706, Sentinel 2,5
2022-06-30,822, Sentinel 2,5
2017-08-09,908, Sentinel 1,12
2018-10-19,741, Sentinel 2,10
2019-11-01,778, Sentinel 2,5
2020-09-19,792, Sentinel 1,6
2022-07-15,714, Sentinel 2,10
2020-08-06,716, Sentinel 2,10
2018-09-09,670, Sentinel 1,12
2021-09-23,768, Sentinel 2,10
2018-08-08,933, Sentinel 1,6
2017-06-23,780, Sentinel 2,10
2020-09-06,720, Sentinel 2,5
2019-10-04,741, Sentinel 2,10
2020-08-04,690, Sentinel 2,5
2019-04-02,755, Sentinel 2,5
2022-06-25,685, Sentinel 2,5
2019-07-22,547, Sentinel 1,6
2021-10-05,771, Sentinel 2,10
2022-05-11,855, Sentinel 2,5
2021-07-27,809, Sentinel 2,10
2021-05-18,671, Sentinel 2,10
2022-05-29,697, Sentinel 2,5
2019-08-18,731, Sentinel 2,5
2019-09-04,698, Sentinel 1,12
2021-06-08,937, Sentinel 1,12
2021-06-25,862, Sentinel 2,10
2022-07-05,1030, Sentinel 2,5
2018-04-22,490, Sentinel 2,5
2019-10-21,800, Sentinel 2,10
2019-12-27,911, Sentinel 1,6
2021-06-23,507, Sentinel 1,6
2017-07-07,692, Sentinel 1,6
2022-09-12,749, Sentinel 1,12
2018-08-22,664, Sentinel 2,10
2018-08-19,464, Sentinel 1,6
2015-08-15,603, Sentinel 1,12
2019-10-19,750, Sentinel 2,5
2017-09-30,912, Sentinel 1,6
2018-03-08,698, Sentinel 2,10
2021-10-23,752, Sentinel 2,10
2022-06-23,708, Sentinel 2,5
2020-08-29,768, Sentinel 2,10
2022-07-25,820, Sentinel 2,10
2018-09-29,690, Sentinel 2,10
2020-08-19,841, Sentinel 2,10
2022-05-03,715, Sentinel 2,10
2019-08-15,761, Sentinel 1,6
2017-10-02,750, Sentinel 2,5
2022-06-15,737, Sentinel 2,10
2017-06-13,757, Sentinel 2,10
2019-08-24,634, Sentinel 1,12
2020-08-09,750, Sentinel 2,5
2017-07-22,770, Sentinel 1,12
2021-08-14,889, Sentinel 1,12
2019-08-29,678, Sentinel 1,12
2019-07-18,865, Sentinel 2,10
2019-09-06,719, Sentinel 2,10
2017-06-23,610, Sentinel 1,12
2021-07-29,709, Sentinel 1,6
2020-08-22,768, Sentinel 2,5
2021-06-15,765, Sentinel 2,10
