mid_date, v [m/yr], satellite, dt (days)
2021-06-05,9104, Sentinel 1,6
2019-07-13,8397, Sentinel 2,10
2019-07-12,8413, Sentinel 1,12
2017-06-23,8918, Sentinel 1,12
2021-08-15,10359, Sentinel 1,6
2017-07-29,8437, Sentinel 1,12
2019-08-20,8345, Sentinel 1,6
2020-08-09,9446, Sentinel 1,6
2016-05-22,7116, Sentinel 1,12
2021-10-15,9809, Sentinel 2,10
2022-04-23,9444, Sentinel 2,10
2017-08-03,8934, Sentinel 2,5
2020-09-02,9979, Sentinel 1,6
2016-05-17,7289, Sentinel 1,12
2018-07-21,9846, Sentinel 2,5
2021-09-09,9697, Sentinel 1,6
2019-08-03,8928, Sentinel 1,6
2021-06-25,9117, Sentinel 1,12
2022-08-16,8709, Sentinel 2,10
2021-11-04,9772, Sentinel 2,10
2021-08-09,9679, Sentinel 2,5
2022-07-28,9160, Sentinel 1,12
2016-10-17,6991, Sentinel 1,6
2022-09-03,8700, Sentinel 2,5
2022-04-29,9542, Sentinel 2,5
2021-08-22,9816, Sentinel 1,6
2022-04-06,9628, Sentinel 2,10
2021-06-16,9225, Sentinel 1,6
2022-08-29,8512, Sentinel 2,10
2018-07-18,9728, Sentinel 2,10
2018-08-01,9956, Sentinel 1,6
2018-08-08,9855, Sentinel 1,6
2021-07-19,9019, Sentinel 1,12
2018-07-11,9521, Sentinel 2,10
2019-06-06,8627, Sentinel 1,12
2020-09-14,9512, Sentinel 1,6
2020-06-27,9129, Sentinel 1,6
2021-09-21,9681, Sentinel 2,5
2018-06-26,9981, Sentinel 1,6
2018-07-21,9992, Sentinel 1,6
2017-09-09,8663, Sentinel 1,12
2017-08-18,8782, Sentinel 1,6
2019-06-10,8717, Sentinel 1,6
2019-09-26,8321, Sentinel 1,6
2017-08-03,8324, Sentinel 1,12
2019-04-23,8914, Sentinel 1,6
2019-08-22,8136, Sentinel 2,10
2017-08-13,8864, Sentinel 1,6
2017-07-14,8793, Sentinel 1,6
2020-07-22,9857, Sentinel 1,6
2020-08-20,9891, Sentinel 1,6
2021-10-06,10011, Sentinel 2,5
2022-10-10,7979, Sentinel 2,10
2021-06-30,9091, Sentinel 2,5
2020-05-16,8977, Sentinel 1,6
2019-08-26,8251, Sentinel 1,6
2021-05-13,9348, Sentinel 2,10
2021-05-08,9381, Sentinel 2,10
2021-09-03,9759, Sentinel 2,10
2021-09-20,9743, Sentinel 2,10
2019-06-07,8146, Sentinel 1,12
2017-07-05,8495, Sentinel 1,12
2019-07-01,8538, Sentinel 1,12
2020-10-20,9491, Sentinel 1,6
2018-07-05,9676, Sentinel 1,12
2021-05-14,9421, Sentinel 2,5
2021-06-27,9009, Sentinel 2,10
2019-08-15,8119, Sentinel 2,10
2022-05-31,9218, Sentinel 2,10
2017-09-12,8918, Sentinel 1,6
2021-10-01,9849, Sentinel 2,5
2020-07-15,9542, Sentinel 2,10
2022-04-16,9825, Sentinel 2,5
2019-09-13,7520, Sentinel 1,6
2021-05-06,9487, Sentinel 2,5
2019-06-06,8664, Sentinel 2,5
2018-08-27,9463, Sentinel 2,10
2016-08-26,6847, Sentinel 1,12
2018-07-17,9399, Sentinel 1,12
2021-05-01,9700, Sentinel 2,5
2020-05-11,9181, Sentinel 1,6
2021-06-27,8783, Sentinel 1,12
2019-09-02,7761, Sentinel 1,6
2017-10-23,9119, Sentinel 1,6
2022-08-04,8938, Sentinel 2,10
2020-05-29,9377, Sentinel 1,6
2020-06-07,9184, Sentinel 1,12
2016-10-29,6861, Sentinel 1,6
2016-05-12,7134, Sentinel 1,12
2016-08-21,7300, Sentinel 1,12
2017-07-23,8752, Sentinel 1,12
2021-10-03,9808, Sentinel 2,10
2019-06-18,8243, Sentinel 1,12
2019-09-20,7885, Sentinel 1,6
2022-07-12,8988, Sentinel 2,10
2017-07-23,8912, Sentinel 2,10
2016-08-27,7137, Sentinel 2,10
2015-06-28,10648, Sentinel 1,12
2021-08-10,9690, Sentinel 1,6
2022-09-02,8512, Sentinel 1,12
2018-06-11,9694, Sentinel 2,5
2020-07-10,9400, Sentinel 1,6
2022-05-04,9643, Sentinel 2,5
2019-08-05,8299, Sentinel 1,12
2019-06-12,8255, Sentinel 1,12
2018-06-29,9641, Sentinel 1,12
2021-10-16,9913, Sentinel 2,5
2019-05-25,8527, Sentinel 1,12
2021-09-13,9867, Sentinel 2,5
2016-09-06,7005, Sentinel 2,10
2020-07-28,9947, Sentinel 1,6
2021-08-06,9512, Sentinel 2,10
2020-06-30,9447, Sentinel 2,10
2021-07-25,9683, Sentinel 2,5
2019-07-28,8448, Sentinel 1,6
2016-07-28,7250, Sentinel 2,10
2017-07-17,9098, Sentinel 1,12
