mid_date, v [m/yr], satellite, dt (days)
2021-05-06,2502, Sentinel 2,10
2018-09-09,2424, Sentinel 1,12
2018-09-21,2424, Sentinel 1,12
2019-09-04,2215, Sentinel 1,12
2019-07-13,2458, Sentinel 2,10
2019-07-12,2333, Sentinel 1,12
2017-06-23,2271, Sentinel 1,12
2016-05-02,2285, Sentinel 2,10
2019-10-05,2263, Sentinel 1,12
2021-10-26,2545, Sentinel 2,10
2021-08-15,2615, Sentinel 1,6
2017-07-29,2302, Sentinel 1,12
2019-08-20,2326, Sentinel 1,6
2020-08-09,2403, Sentinel 1,6
2016-05-22,2452, Sentinel 1,12
2021-10-15,2531, Sentinel 2,10
2022-04-23,2518, Sentinel 2,10
2017-08-03,2345, Sentinel 2,5
2018-07-29,2301, Sentinel 1,12
2020-09-02,2396, Sentinel 1,6
2018-07-21,2531, Sentinel 2,5
2022-06-20,2386, Sentinel 1,12
2021-09-09,2348, Sentinel 1,6
2019-08-03,2355, Sentinel 1,6
2021-06-25,2161, Sentinel 1,12
2022-08-16,2417, Sentinel 2,10
2022-07-05,2532, Sentinel 2,10
2021-11-04,2539, Sentinel 2,10
2021-08-09,2655, Sentinel 2,5
2022-08-02,2446, Sentinel 1,12
2019-09-11,2276, Sentinel 1,12
2022-07-28,2399, Sentinel 1,12
2016-10-17,2194, Sentinel 1,6
2022-09-03,2489, Sentinel 2,5
2022-04-29,2378, Sentinel 2,5
2021-08-22,2544, Sentinel 1,6
2022-04-06,2551, Sentinel 2,10
2021-06-16,2439, Sentinel 1,6
2022-08-29,2448, Sentinel 2,10
2018-07-18,2551, Sentinel 2,10
2018-08-01,2346, Sentinel 1,6
2018-08-08,2474, Sentinel 1,6
2020-07-19,2341, Sentinel 1,12
2018-07-11,2578, Sentinel 2,10
2019-06-06,2467, Sentinel 1,12
2020-09-14,2312, Sentinel 1,6
2020-06-27,2419, Sentinel 1,6
2021-09-21,2430, Sentinel 2,5
2018-06-26,2517, Sentinel 1,6
2020-08-30,2156, Sentinel 1,12
2019-07-18,2502, Sentinel 2,10
2018-07-21,2372, Sentinel 1,6
2017-09-09,2285, Sentinel 1,12
2017-08-18,2231, Sentinel 1,6
2022-10-11,2341, Sentinel 2,10
2019-06-10,2518, Sentinel 1,6
2019-09-26,1956, Sentinel 1,6
2017-08-03,2213, Sentinel 1,12
2019-08-22,2448, Sentinel 2,10
2017-08-13,2297, Sentinel 1,6
2021-05-04,2416, Sentinel 2,10
2017-07-14,2180, Sentinel 1,6
2020-07-22,2391, Sentinel 1,6
2019-09-17,2549, Sentinel 1,12
2020-08-20,2463, Sentinel 1,6
2021-10-06,2636, Sentinel 2,5
2022-10-10,2379, Sentinel 2,10
2021-06-30,2522, Sentinel 2,5
2020-07-06,2186, Sentinel 1,12
2019-08-26,2202, Sentinel 1,6
2021-05-13,2470, Sentinel 2,10
2021-09-03,2572, Sentinel 2,10
2021-09-20,2501, Sentinel 2,10
2019-06-07,2360, Sentinel 1,12
2017-07-05,2280, Sentinel 1,12
2020-07-13,2381, Sentinel 1,12
2019-07-01,2233, Sentinel 1,12
2018-07-05,2309, Sentinel 1,12
2022-10-01,2322, Sentinel 1,12
2021-05-14,2449, Sentinel 2,5
2015-08-03,2402, Sentinel 1,12
2021-06-27,2478, Sentinel 2,10
2021-11-03,2320, Sentinel 2,5
2019-08-15,2480, Sentinel 2,10
2015-08-15,2432, Sentinel 1,12
2022-05-31,2421, Sentinel 2,10
2017-09-12,2562, Sentinel 1,6
2021-10-01,2491, Sentinel 2,5
2020-07-15,2556, Sentinel 2,10
2022-04-16,2782, Sentinel 2,5
2019-09-13,2345, Sentinel 1,6
2021-05-06,2469, Sentinel 2,5
2019-06-06,2449, Sentinel 2,5
2018-08-27,2489, Sentinel 2,10
2016-08-26,2177, Sentinel 1,12
2018-07-17,2309, Sentinel 1,12
2021-05-01,2491, Sentinel 2,5
2015-10-02,2357, Sentinel 1,12
2021-06-27,2455, Sentinel 1,12
2019-09-02,2420, Sentinel 1,6
2017-10-23,2418, Sentinel 1,6
2022-08-04,2500, Sentinel 2,10
2020-05-29,2642, Sentinel 1,6
2021-08-24,2374, Sentinel 1,12
2021-10-23,2561, Sentinel 2,10
2020-06-07,2499, Sentinel 1,12
2016-08-21,2242, Sentinel 1,12
2017-07-23,2256, Sentinel 1,12
2021-10-03,2593, Sentinel 2,10
2019-06-18,2372, Sentinel 1,12
2019-09-10,2265, Sentinel 1,12
2019-09-20,2901, Sentinel 1,6
2020-07-12,2276, Sentinel 1,12
2019-08-26,2302, Sentinel 2,5
2017-07-23,2444, Sentinel 2,10
2022-05-16,2464, Sentinel 2,10
2016-08-27,2323, Sentinel 2,10
2017-09-02,2169, Sentinel 1,12
2015-06-28,2410, Sentinel 1,12
2022-08-14,2303, Sentinel 1,12
2021-08-10,2492, Sentinel 1,6
2022-09-02,2364, Sentinel 1,12
2018-06-11,2523, Sentinel 2,5
2017-06-04,2314, Sentinel 1,12
2020-07-10,2248, Sentinel 1,6
2022-05-04,2672, Sentinel 2,5
2016-05-02,2285, Sentinel 2,10
2019-08-05,2326, Sentinel 1,12
2019-06-12,2251, Sentinel 1,12
2018-06-29,2416, Sentinel 1,12
2021-10-16,2715, Sentinel 2,5
2019-05-25,2458, Sentinel 1,12
2021-09-13,2565, Sentinel 2,5
2016-09-06,2271, Sentinel 2,10
2020-07-28,2383, Sentinel 1,6
2021-08-06,2530, Sentinel 2,10
2020-06-30,2365, Sentinel 2,10
2021-07-25,2489, Sentinel 2,5
2019-07-28,2321, Sentinel 1,6
2016-07-28,2344, Sentinel 2,10
2017-07-17,2243, Sentinel 1,12
2020-06-15,2274, Sentinel 1,6
2020-08-12,2465, Sentinel 1,12
2021-09-10,2562, Sentinel 2,10
2022-04-07,2399, Sentinel 2,5
2020-07-13,2636, Sentinel 2,5
2017-08-09,2338, Sentinel 1,12
2022-10-18,2428, Sentinel 2,10
2018-08-19,2274, Sentinel 1,6
2017-10-03,2605, Sentinel 1,12
2021-09-14,2352, Sentinel 1,6
2019-08-15,2489, Sentinel 2,5
2020-09-01,2429, Sentinel 2,10
2021-05-12,2618, Sentinel 2,5
2020-07-20,2595, Sentinel 2,5
2018-08-07,2416, Sentinel 1,6
2018-08-30,2577, Sentinel 2,5
2019-07-04,2381, Sentinel 1,6
2020-06-24,2349, Sentinel 1,12
2017-10-24,3067, Sentinel 1,6
2021-10-16,2528, Sentinel 2,10
2022-08-26,2333, Sentinel 1,12
2022-08-22,2491, Sentinel 2,5
2015-09-20,2467, Sentinel 1,12
2019-06-16,2405, Sentinel 1,6
2017-10-06,2344, Sentinel 1,6
2019-07-06,2397, Sentinel 1,12
2019-06-21,2361, Sentinel 1,6
2020-06-16,2384, Sentinel 1,6
2019-06-22,2429, Sentinel 1,6
2021-08-09,2433, Sentinel 1,6
2017-08-07,2366, Sentinel 1,6
2021-07-23,2455, Sentinel 2,5
2017-07-10,2318, Sentinel 1,12
2020-08-09,2521, Sentinel 2,10
2021-08-04,2510, Sentinel 2,5
2020-07-17,2510, Sentinel 2,10
2019-06-03,2438, Sentinel 2,10
2021-07-18,2641, Sentinel 2,5
2017-10-21,2472, Sentinel 1,12
2018-08-05,2422, Sentinel 1,12
2018-09-27,2402, Sentinel 1,12
2020-06-21,2346, Sentinel 1,6
2019-06-03,2352, Sentinel 1,6
2021-09-06,2343, Sentinel 1,12
2021-08-03,2389, Sentinel 1,6
