mid_date, v [m/yr], satellite, dt (days)
2020-11-01,6173, Sentinel 1,6
2022-08-04,6166, Sentinel 2,10
2020-05-29,5906, Sentinel 1,6
2021-08-24,6452, Sentinel 1,12
2021-10-23,6505, Sentinel 2,10
2020-06-07,6099, Sentinel 1,12
2016-10-29,4805, Sentinel 1,6
2016-05-12,5071, Sentinel 1,12
2016-08-21,5268, Sentinel 1,12
2022-10-08,5683, Sentinel 1,12
2021-09-27,6472, Sentinel 1,6
2017-07-23,5964, Sentinel 1,12
2021-10-03,6517, Sentinel 2,10
2019-06-18,5775, Sentinel 1,12
2019-09-10,5759, Sentinel 1,12
2016-12-04,5469, Sentinel 1,6
2019-09-20,5795, Sentinel 1,6
2020-07-12,6297, Sentinel 1,12
2019-08-26,5663, Sentinel 2,5
2017-07-23,6078, Sentinel 2,10
2022-05-16,6272, Sentinel 2,10
2021-11-26,6060, Sentinel 1,6
2019-11-01,5725, Sentinel 1,6
2021-01-01,5725, Sentinel 1,6
2021-03-12,5053, Sentinel 1,6
2016-08-27,5303, Sentinel 2,10
2017-09-02,6029, Sentinel 1,12
2019-10-17,5624, Sentinel 1,12
2015-06-28,6327, Sentinel 1,12
2021-03-06,6371, Sentinel 1,6
2017-11-23,5669, Sentinel 1,6
2020-12-26,5879, Sentinel 1,6
2022-08-14,6079, Sentinel 1,12
2020-02-23,6018, Sentinel 1,6
2021-08-10,6133, Sentinel 1,6
2022-09-02,5752, Sentinel 1,12
2016-07-14,5264, Sentinel 2,10
2018-06-11,6386, Sentinel 2,5
2017-06-04,5933, Sentinel 1,12
2021-05-03,6115, Sentinel 1,12
2019-10-11,5636, Sentinel 1,12
2020-07-10,6408, Sentinel 1,6
2017-01-26,5471, Sentinel 1,6
2020-12-23,5906, Sentinel 1,12
2022-05-04,6424, Sentinel 2,5
2016-05-02,5198, Sentinel 2,10
2019-08-05,6019, Sentinel 1,12
2019-06-12,5795, Sentinel 1,12
2018-06-29,6348, Sentinel 1,12
2021-10-16,6542, Sentinel 2,5
2019-05-25,5896, Sentinel 1,12
2019-11-19,6178, Sentinel 1,6
2019-02-28,5646, Sentinel 1,6
2019-01-07,6125, Sentinel 1,6
2020-12-20,6059, Sentinel 1,6
2021-09-13,6466, Sentinel 2,5
2016-09-06,5201, Sentinel 2,10
2020-07-28,5920, Sentinel 1,6
2021-08-06,6451, Sentinel 2,10
2020-06-30,6366, Sentinel 2,10
2021-07-25,6429, Sentinel 2,5
2019-07-28,5793, Sentinel 1,6
2016-07-28,5344, Sentinel 2,10
2017-07-17,5984, Sentinel 1,12
2020-06-15,6171, Sentinel 1,6
2019-12-18,5918, Sentinel 1,6
2018-01-05,6078, Sentinel 1,6
2020-08-12,6346, Sentinel 1,12
2020-01-05,5688, Sentinel 1,6
2021-09-10,6436, Sentinel 2,10
2022-04-07,6148, Sentinel 2,5
2020-07-13,6439, Sentinel 2,5
2016-04-18,5123, Sentinel 1,12
2017-08-09,6137, Sentinel 1,12
2022-10-18,5540, Sentinel 2,10
2018-08-19,6314, Sentinel 1,6
2021-01-13,5782, Sentinel 1,6
2017-10-03,5950, Sentinel 1,12
2021-09-14,6270, Sentinel 1,6
2021-05-24,6051, Sentinel 1,6
2019-08-15,5928, Sentinel 2,5
2021-05-12,6244, Sentinel 2,5
2020-07-20,6522, Sentinel 2,5
2018-08-07,6440, Sentinel 1,6
2022-09-26,5731, Sentinel 1,12
2018-08-30,6374, Sentinel 2,5
2021-05-23,6253, Sentinel 1,6
2019-07-04,5770, Sentinel 1,6
2020-06-24,6213, Sentinel 1,12
2019-12-31,6147, Sentinel 1,6
2017-10-24,6449, Sentinel 1,6
2021-10-16,6444, Sentinel 2,10
2022-08-26,6096, Sentinel 1,12
2022-08-22,6142, Sentinel 2,5
2015-09-20,6099, Sentinel 1,12
2019-06-16,5789, Sentinel 1,6
2017-10-06,6065, Sentinel 1,6
2020-12-13,5802, Sentinel 1,6
2019-07-06,5913, Sentinel 1,12
2021-05-05,6183, Sentinel 1,6
2018-05-28,6512, Sentinel 1,6
