mid_date, v [m/yr], satellite, dt (days),rolling_avg
2016-04-18,5237, Sentinel 1,12,
2016-04-18,5123, Sentinel 1,12,
2016-04-19,5285, Sentinel 2,10,
2016-04-23,5373, Sentinel 1,12,
2016-05-02,5198, Sentinel 2,10,
2016-05-02,5198, Sentinel 2,10,
2016-05-05,5246, Sentinel 1,12,
2016-05-10,5283, Sentinel 1,12,
2016-05-12,5334, Sentinel 2,10,
2016-05-12,5227, Sentinel 1,12,
2016-05-12,5071, Sentinel 1,12,
2016-05-17,5272, Sentinel 1,12,
2016-05-22,5281, Sentinel 1,12,
2016-05-24,5149, Sentinel 1,12,
2016-05-24,5148, Sentinel 1,12,
2016-05-29,5301, Sentinel 1,12,
2016-06-03,5176, Sentinel 1,12,
2016-06-05,4862, Sentinel 1,12,
2016-06-05,5120, Sentinel 1,12,
2016-06-11,5339, Sentinel 2,10,
2016-07-09,5246, Sentinel 1,12,
2016-07-11,5097, Sentinel 1,12,
2016-07-14,5264, Sentinel 2,10,
2016-07-23,5237, Sentinel 1,12,
2016-07-28,5344, Sentinel 2,10,
2016-07-28,5330, Sentinel 1,12,
2016-07-31,5320, Sentinel 2,10,
2016-08-04,5191, Sentinel 1,12,
2016-08-09,5205, Sentinel 1,12,
2016-08-14,5428, Sentinel 1,12,5229.5
2016-08-16,5359, Sentinel 1,12,5233.566666666667
2016-08-21,5268, Sentinel 1,12,5238.4
2016-08-26,5314, Sentinel 1,12,5239.366666666667
2016-08-27,5303, Sentinel 2,10,5237.033333333334
2016-08-28,5309, Sentinel 1,12,5240.733333333334
2016-09-02,5121, Sentinel 1,12,5238.166666666667
2016-09-06,5201, Sentinel 2,10,5236.666666666667
2016-09-07,5191, Sentinel 1,12,5233.6
2016-09-09,5131, Sentinel 1,12,5226.833333333333
2016-09-14,5151, Sentinel 1,12,5224.3
2016-09-19,5163, Sentinel 1,12,5227.366666666667
2016-09-23,4966, Sentinel 1,6,5217.166666666667
2016-09-26,4945, Sentinel 1,12,5205.966666666666
2016-09-29,5138, Sentinel 1,6,5205.6
2016-10-01,5200, Sentinel 1,12,5207.333333333333
2016-10-02,5210, Sentinel 1,12,5204.3
2016-10-05,5009, Sentinel 1,6,5198.733333333334
2016-10-08,5067, Sentinel 1,12,5205.566666666667
2016-10-11,5077, Sentinel 1,6,5204.133333333333
2016-10-13,5082, Sentinel 1,12,5195.566666666667
2016-10-14,5107, Sentinel 1,12,5190.933333333333
2016-10-17,5040, Sentinel 1,6,5189.033333333334
2016-10-20,5021, Sentinel 1,12,5180.933333333333
2016-10-23,4991, Sentinel 1,6,5172.733333333334
2016-10-25,5129, Sentinel 1,12,5165.566666666667
2016-10-26,4950, Sentinel 1,12,5152.9
2016-10-29,5090, Sentinel 2,10,5145.233333333334
2016-10-29,4805, Sentinel 1,6,5132.366666666667
2016-11-01,4988, Sentinel 1,12,5125.133333333333
2016-11-04,5091, Sentinel 1,6,5113.9
2016-11-06,5261, Sentinel 1,12,5110.633333333333
2016-11-07,5196, Sentinel 1,12,5108.233333333334
2016-11-10,5446, Sentinel 1,6,5112.633333333333
2016-11-13,5289, Sentinel 1,12,5112.166666666667
2016-11-16,4958, Sentinel 1,6,5100.466666666666
2016-11-18,5454, Sentinel 1,12,5111.566666666667
2016-11-19,5147, Sentinel 1,12,5109.766666666666
2016-11-22,5518, Sentinel 1,6,5120.666666666667
2016-11-28,5175, Sentinel 1,6,5122.133333333333
2016-11-30,5408, Sentinel 1,12,5130.7
