mid_date, v [m/yr], satellite, dt (days),rolling_avg
2016-03-01,1445, Sentinel 1,12,
2016-04-19,1546, Sentinel 2,10,
2016-04-23,1173, Sentinel 1,12,
2016-05-02,1540, Sentinel 2,10,
2016-05-02,1540, Sentinel 2,10,
2016-05-12,1583, Sentinel 2,10,
2016-06-03,1519, Sentinel 1,12,
2016-06-05,1475, Sentinel 1,12,
2016-06-11,1579, Sentinel 2,10,
2016-07-09,1466, Sentinel 1,12,
2016-07-11,1437, Sentinel 1,12,
2016-07-23,1494, Sentinel 1,12,
2016-07-28,1442, Sentinel 1,12,
2016-07-28,1532, Sentinel 2,10,
2016-07-31,1533, Sentinel 2,10,
2016-08-04,1476, Sentinel 1,12,
2016-08-09,1590, Sentinel 1,12,
2016-08-14,1510, Sentinel 1,12,
2016-08-16,1540, Sentinel 1,12,
2016-08-21,1430, Sentinel 1,12,
2016-08-26,1533, Sentinel 1,12,
2016-08-27,1533, Sentinel 2,10,
2016-08-28,1429, Sentinel 1,12,
2016-09-02,1594, Sentinel 1,12,
2016-09-06,1510, Sentinel 2,10,
2016-09-07,1451, Sentinel 1,12,
2016-09-09,1492, Sentinel 1,12,
2016-09-14,1486, Sentinel 1,12,
2016-09-19,1421, Sentinel 1,12,
2016-09-23,1581, Sentinel 1,6,1496.0
2016-09-29,1383, Sentinel 1,6,1493.9333333333334
2016-10-01,1731, Sentinel 1,12,1500.1
2016-10-02,1777, Sentinel 1,12,1520.2333333333333
2016-10-05,2216, Sentinel 1,6,1542.7666666666667
2016-10-11,1535, Sentinel 1,6,1542.6
2016-10-13,1587, Sentinel 1,12,1542.7333333333333
2016-10-14,1443, Sentinel 1,12,1540.2
2016-10-17,1569, Sentinel 1,6,1543.3333333333333
2016-10-20,1673, Sentinel 1,12,1546.4666666666667
2016-10-23,1688, Sentinel 1,6,1553.8666666666666
2016-10-26,1552, Sentinel 1,12,1557.7
2016-10-29,1757, Sentinel 1,6,1566.4666666666667
2016-10-29,1583, Sentinel 2,10,1571.1666666666667
2016-11-07,1727, Sentinel 1,12,1577.6666666666667
2017-01-17,1346, Sentinel 1,6,1571.4333333333334
2017-05-14,1808, Sentinel 1,6,1582.5
2017-05-20,1256, Sentinel 1,6,1571.3666666666666
2017-05-21,1707, Sentinel 1,6,1577.9333333333334
2017-05-24,1553, Sentinel 1,12,1578.3666666666666
2017-05-26,1418, Sentinel 1,6,1577.9666666666667
2017-05-27,1471, Sentinel 1,6,1575.9
2017-05-29,1385, Sentinel 1,12,1570.9666666666667
2017-05-30,1477, Sentinel 1,12,1572.5666666666666
2017-06-01,1632, Sentinel 1,6,1573.8333333333333
2017-06-02,1438, Sentinel 1,6,1571.4333333333334
2017-06-04,1504, Sentinel 1,12,1573.2
2017-06-05,1529, Sentinel 1,12,1574.4333333333334
2017-06-06,1513, Sentinel 2,10,1575.3333333333333
2017-06-07,1441, Sentinel 1,6,1576.0
2017-06-08,1485, Sentinel 1,6,1572.8
2017-06-11,1523, Sentinel 1,12,1577.4666666666667
2017-06-13,1511, Sentinel 2,10,1570.1333333333334
2017-06-14,1444, Sentinel 1,6,1559.0333333333333
2017-06-16,1460, Sentinel 1,12,1533.8333333333333
2017-06-17,1463, Sentinel 1,12,1531.4333333333334
2017-06-20,1509, Sentinel 1,6,1528.8333333333333
2017-06-23,1469, Sentinel 1,12,1529.7
2017-06-23,1533, Sentinel 2,10,1528.5
2017-06-25,1518, Sentinel 1,6,1523.3333333333333
2017-06-26,1516, Sentinel 1,6,1517.6
2017-06-28,1517, Sentinel 1,12,1516.4333333333334
2017-06-29,1498, Sentinel 1,12,1507.8
2017-07-01,1777, Sentinel 1,6,1514.2666666666667
2017-07-01,1585, Sentinel 2,5,1509.5333333333333
2017-07-02,1406, Sentinel 1,6,1511.5333333333333
2017-07-04,1497, Sentinel 1,12,1501.1666666666667
2017-07-05,1503, Sentinel 1,12,1509.4
2017-07-06,1560, Sentinel 2,10,1504.5
2017-07-07,1484, Sentinel 1,6,1502.2
2017-07-08,1490, Sentinel 1,6,1504.6
2017-07-10,1621, Sentinel 1,12,1509.6
2017-07-11,1595, Sentinel 1,12,1516.6
2017-07-13,1678, Sentinel 1,6,1523.3
2017-07-14,1603, Sentinel 1,6,1522.3333333333333
2017-07-16,1539, Sentinel 1,12,1525.7
2017-07-17,1508, Sentinel 1,12,1525.8333333333333
2017-07-19,1457, Sentinel 1,6,1523.4333333333334
2017-07-20,1454, Sentinel 1,6,1521.4666666666667
2017-07-22,1493, Sentinel 1,12,1523.2
2017-07-23,1587, Sentinel 2,10,1526.6
2017-07-23,1497, Sentinel 1,12,1525.7333333333333
2017-07-25,1641, Sentinel 1,6,1530.0666666666666
2017-07-26,1559, Sentinel 1,6,1533.9
2017-07-28,1499, Sentinel 1,12,1535.2
2017-07-29,1537, Sentinel 1,12,1537.6666666666667
2017-07-31,1553, Sentinel 1,6,1539.1333333333334
2017-07-31,1631, Sentinel 2,5,1544.5333333333333
2017-08-01,1503, Sentinel 1,6,1543.5333333333333
2017-08-03,1538, Sentinel 2,5,1544.2
2017-08-03,1494, Sentinel 1,12,1543.4666666666667
2017-08-04,1531, Sentinel 1,12,1543.9333333333334
2017-08-06,1545, Sentinel 1,6,1545.5
2017-08-07,1489, Sentinel 1,6,1535.9
2017-08-07,1558, Sentinel 2,10,1535.0
2017-08-09,1496, Sentinel 1,12,1538.0
2017-08-10,1535, Sentinel 2,10,1539.2666666666667
2017-08-10,1477, Sentinel 1,12,1538.4
2017-08-12,1600, Sentinel 1,6,1539.7333333333333
2017-08-13,1515, Sentinel 1,6,1540.7666666666667
2017-08-15,1500, Sentinel 1,12,1541.1
2017-08-15,1400, Sentinel 2,5,1533.7333333333333
2017-08-16,1625, Sentinel 1,12,1534.7333333333333
2017-08-18,1526, Sentinel 1,6,1529.6666666666667
2017-08-19,1598, Sentinel 1,6,1529.5
2017-08-20,1512, Sentinel 2,10,1528.6
2017-08-21,1557, Sentinel 1,12,1530.2333333333333
2017-08-22,1558, Sentinel 1,12,1533.6
2017-08-24,1493, Sentinel 1,6,1534.9
2017-08-25,1393, Sentinel 1,6,1531.5666666666666
2017-08-27,1506, Sentinel 1,12,1528.8666666666666
2017-08-28,1488, Sentinel 1,12,1528.5666666666666
2017-08-30,1498, Sentinel 1,6,1523.8
2017-08-31,1509, Sentinel 1,6,1522.1333333333334
2017-09-02,1431, Sentinel 1,12,1519.8666666666666
2017-09-03,1489, Sentinel 1,12,1518.2666666666667
2017-09-05,1223, Sentinel 1,6,1507.2666666666667
2017-09-06,1451, Sentinel 1,6,1501.2666666666667
2017-09-08,1514, Sentinel 1,12,1501.6333333333334
2017-09-09,1567, Sentinel 1,12,1502.6
2017-09-11,1581, Sentinel 1,6,1505.5
2017-09-12,1685, Sentinel 1,6,1510.6333333333334
2017-09-14,1547, Sentinel 1,12,1510.7
2017-09-15,1596, Sentinel 1,12,1514.2666666666667
2017-09-17,1491, Sentinel 1,6,1512.0333333333333
2017-09-18,1464, Sentinel 1,6,1510.9666666666667
2017-09-20,1425, Sentinel 1,12,1507.3
2017-09-21,1417, Sentinel 1,12,1505.3
2017-09-23,1490, Sentinel 1,6,1501.6333333333334
2017-09-24,1450, Sentinel 1,6,1499.4666666666667
2017-09-26,1389, Sentinel 1,12,1495.7666666666667
2017-09-27,1469, Sentinel 1,12,1498.0666666666666
2017-09-29,1223, Sentinel 1,6,1484.6666666666667
2017-10-02,1458, Sentinel 1,12,1482.4
2017-10-05,1691, Sentinel 1,6,1485.5
2017-10-06,1467, Sentinel 1,6,1484.0
2017-10-09,1534, Sentinel 2,10,1483.2333333333333
2017-10-09,1434, Sentinel 1,12,1479.1
2017-10-11,1458, Sentinel 1,6,1477.9333333333334
2017-10-12,1504, Sentinel 1,6,1481.6333333333334
2017-10-14,1484, Sentinel 1,12,1480.9
2017-10-15,1493, Sentinel 1,12,1481.0666666666666
